,date,close,average,turnover_ratio,market_cap
0,2005-01-04,30.44,30.41,0.196,29.376
1,2005-01-05,30.88,30.69,0.1965,29.808
2,2005-01-06,30.44,30.6,0.181,29.376
3,2005-01-07,33.33,33.16,3.192,32.1696
4,2005-01-10,32.9,32.68,0.7623,31.752
5,2005-01-11,32.73,32.66,0.3085,31.5936
6,2005-01-12,32.23,32.1,0.4175,31.104
7,2005-01-13,32.18,32.25,0.5312,31.0608
8,2005-01-14,31.38,31.96,0.4149,30.2832
9,2005-01-17,30.08,30.28,0.9752,29.0304
10,2005-01-18,30.6,30.31,0.63,29.5344
11,2005-01-19,30.59,30.56,0.214,29.52
12,2005-01-20,30.27,30.21,0.3745,29.2176
13,2005-01-21,29.94,29.37,1.0017,28.9008
14,2005-01-24,30.74,30.59,0.504,29.664
15,2005-01-25,30.26,30.07,0.4699,29.2032
16,2005-01-26,29.81,29.74,0.3895,28.7712
17,2005-01-27,29.57,29.65,0.2725,28.5408
18,2005-01-28,28.78,28.9,0.2997,27.7776
19,2005-01-31,28.33,28.35,0.435,27.3456
20,2005-02-01,28.35,28.45,0.3504,27.36
21,2005-02-02,30.09,29.44,0.605,29.0448
22,2005-02-03,29.15,29.43,0.4311,28.1376
23,2005-02-04,29.53,29.34,0.3388,28.4976
24,2005-02-16,30.02,30.19,0.4215,28.9728
25,2005-02-17,30.68,30.18,0.4161,29.6064
26,2005-02-18,30.12,30.27,0.2396,29.0736
27,2005-02-21,30.29,30.17,0.2081,29.232
28,2005-02-22,31.93,31.38,1.2356,30.816
29,2005-02-23,32.59,32.25,1.0258,31.4496
30,2005-02-24,32.42,32.2,0.5205,31.2912
31,2005-02-25,32.17,32.29,0.6684,31.0464
32,2005-02-28,31.51,31.76,0.7711,30.4128
33,2005-03-01,31.42,31.5,0.5353,30.3264
34,2005-03-02,31.05,31.38,0.4958,29.9664
35,2005-03-03,31.33,31.07,0.5463,30.24
36,2005-03-04,32.33,32.57,1.3222,31.2048
37,2005-03-07,32.08,32.21,0.5505,30.96
38,2005-03-08,32.82,32.75,1.0108,31.68
39,2005-03-09,32.59,32.71,0.8322,31.4496
40,2005-03-10,31.68,32.01,0.9571,30.5712
41,2005-03-11,31.75,31.75,2.5038,30.6432
42,2005-03-14,31.93,31.34,1.0038,30.816
43,2005-03-15,32.2,31.83,0.5687,31.0752
44,2005-03-16,31.63,31.42,0.5118,30.528
45,2005-03-17,31.38,31.51,0.5193,30.2832
46,2005-03-18,30.87,30.85,0.703,29.7936
47,2005-03-21,29.9,30.07,0.5303,28.8576
48,2005-03-22,28.94,29.08,0.5369,27.936
49,2005-03-23,29.24,29.15,0.3771,28.224
50,2005-03-24,28.99,28.98,0.386,27.9792
51,2005-03-25,29.23,29.22,0.2553,28.2096
52,2005-03-28,28.57,28.5,0.4518,27.576
53,2005-03-29,27.5,27.63,0.7623,26.5392
54,2005-03-30,26.12,26.58,0.8265,25.2144
55,2005-03-31,26.12,26.15,0.6988,25.2144
56,2005-04-01,27.04,26.07,1.2674,26.0928
57,2005-04-04,25.54,25.92,1.3234,24.6528
58,2005-04-05,25.17,25.26,1.481,24.2928
59,2005-04-06,24.47,24.56,2.6865,23.616
60,2005-04-07,26.77,26.7,4.5515,25.8336
61,2005-04-08,26.92,26.59,2.5694,25.9776
62,2005-04-11,26.6,26.78,1.8401,25.6752
63,2005-04-12,26.12,26.23,1.1774,25.2144
64,2005-04-13,26.74,26.82,1.1843,25.8048
65,2005-04-14,26.89,27.17,2.4916,25.9488
66,2005-04-15,26.24,26.25,0.8637,25.3296
67,2005-04-18,25.2,25.46,0.6573,24.3216
68,2005-04-19,25.62,25.48,0.4218,24.7248
69,2005-04-20,24.99,25.01,0.5659,24.12
70,2005-04-21,25.07,24.88,0.5122,24.192
71,2005-04-22,25.13,24.97,0.4027,24.2496
72,2005-04-25,25.18,24.76,0.5812,24.3072
73,2005-04-26,25.81,25.45,0.6083,24.912
74,2005-04-27,25.1,25.27,0.4791,24.2208
75,2005-04-28,24.8,24.44,1.1702,23.9328
