,date,close,average,turnover_ratio,market_cap
0,2005-01-04,177.62,177.38,0.1249,126.8676
1,2005-01-05,175.98,175.17,0.2286,125.7001
2,2005-01-06,177.62,177.09,0.1892,126.8676
3,2005-01-07,177.35,177.69,0.1338,126.673
4,2005-01-10,179.52,177.1,0.1868,128.2297
5,2005-01-12,177.89,177.43,0.1163,127.0622
6,2005-01-13,178.98,178.77,0.1136,127.8405
7,2005-01-14,177.07,177.85,0.1139,126.4784
8,2005-01-17,170.26,172.14,0.225,121.6139
9,2005-01-18,169.45,169.33,0.1839,121.0301
10,2005-01-19,167.81,168.37,0.1196,119.8626
11,2005-01-20,163.72,164.29,0.2802,116.9439
12,2005-01-21,174.62,169.37,0.7122,124.7272
13,2005-01-24,176.26,176.15,0.4582,125.8947
14,2005-01-25,171.9,172.33,0.2484,122.7814
15,2005-01-26,171.62,173.1,0.18,122.5868
16,2005-01-27,167.27,169.08,0.1792,119.4735
17,2005-01-28,168.08,166.08,0.1654,120.0572
18,2005-01-31,165.09,165.53,0.1318,117.9168
19,2005-02-01,165.9,166.6,0.1509,118.5006
20,2005-02-02,174.35,171.95,0.4042,124.5326
21,2005-02-03,171.9,173.27,0.2938,122.7814
22,2005-02-04,179.8,178.58,0.6328,128.4243
23,2005-02-16,179.52,180.06,0.3003,128.2297
24,2005-02-17,178.71,178.49,0.2148,127.6459
25,2005-02-18,179.8,180.12,0.2813,128.4243
26,2005-02-21,182.79,182.72,0.4584,130.5647
27,2005-02-22,183.61,182.23,0.5565,131.1484
28,2005-02-23,181.7,182.05,0.3633,129.7863
29,2005-02-24,180.61,180.09,0.3539,129.008
30,2005-02-25,180.89,182.32,0.4015,129.2026
31,2005-02-28,176.53,177.15,0.366,126.0893
32,2005-03-01,174.35,174.87,0.2387,124.5326
33,2005-03-02,173.8,174.6,0.2185,124.1435
34,2005-03-03,175.44,174.46,0.1263,125.3109
35,2005-03-04,173.26,173.52,0.1544,123.7543
36,2005-03-07,169.99,171.43,0.2252,121.4193
37,2005-03-08,172.99,171.44,0.3237,123.5597
38,2005-03-09,171.35,171.39,0.3091,122.3922
39,2005-03-10,167.81,168.75,0.2919,119.8626
40,2005-03-11,166.72,166.49,0.2573,119.0843
41,2005-03-14,165.63,165.74,0.2621,118.306
42,2005-03-15,163.18,163.9,0.3074,116.5547
43,2005-03-16,161.55,161.87,0.2271,115.3873
44,2005-03-17,162.63,163.0,0.204,116.1656
45,2005-03-18,161.55,162.22,0.2278,115.3873
46,2005-03-21,161.82,161.82,0.1306,115.5818
47,2005-03-22,150.92,154.77,0.3715,107.7985
48,2005-03-23,146.02,148.47,0.4233,104.2961
49,2005-03-24,147.11,146.39,0.3768,105.0744
50,2005-03-25,147.11,146.89,0.1809,105.0744
51,2005-03-28,144.38,144.35,0.1948,103.1286
52,2005-03-29,144.38,145.01,0.1366,103.1286
53,2005-03-30,138.93,140.15,0.3004,99.2369
54,2005-03-31,141.93,140.3,0.2418,101.3773
55,2005-04-01,152.56,148.68,0.497,108.966
56,2005-04-04,147.65,149.14,0.381,105.4636
57,2005-04-05,149.56,150.04,0.32,106.8256
58,2005-04-06,152.83,150.76,0.375,109.1606
59,2005-04-07,168.08,165.76,1.7768,120.0572
60,2005-04-08,184.97,175.36,3.5276,132.1213
61,2005-04-11,189.06,191.1,3.9525,135.0401
62,2005-04-12,180.89,183.92,2.0672,129.2026
63,2005-04-13,187.42,188.71,2.9126,133.8726
64,2005-04-14,179.8,181.53,1.4425,128.4243
65,2005-04-15,180.61,179.43,1.3057,129.008
66,2005-04-18,175.17,175.34,0.7237,125.1164
67,2005-04-19,183.88,180.88,1.3626,131.343
68,2005-04-20,180.61,179.8,0.9375,129.008
69,2005-04-22,162.91,166.58,1.7677,116.3602
70,2005-04-25,157.73,153.14,1.1665,112.6631
71,2005-04-26,164.81,161.34,1.0279,117.7222
72,2005-04-27,155.82,158.69,0.7791,111.301
73,2005-04-28,160.18,158.4,0.9411,114.4143
74,2005-04-29,168.9,169.31,1.6765,120.641
75,2005-05-09,165.9,167.01,0.6878,118.5006
76,2005-05-10,171.9,169.19,0.7692,122.7814
77,2005-05-11,168.63,170.32,0.7583,120.4464
78,2005-05-12,168.63,169.45,0.5634,120.4464
79,2005-05-13,164.0,164.44,0.791,117.1385
80,2005-05-16,160.73,160.08,0.3864,114.8035
81,2005-05-17,165.09,164.57,0.4324,117.9168
82,2005-05-18,167.27,166.67,0.3693,119.4735
83,2005-05-19,168.9,168.15,0.5179,120.641
84,2005-05-20,169.17,170.74,0.7011,120.8356
85,2005-05-23,162.36,164.69,0.5864,115.971
86,2005-05-24,167.81,166.82,0.4962,119.8626
87,2005-05-25,168.08,168.69,0.3921,120.0572
88,2005-05-26,167.27,167.75,0.31,119.4735
89,2005-05-27,167.54,168.85,0.3854,119.6681
90,2005-05-30,166.18,164.4,0.4119,118.6952
91,2005-05-31,163.72,164.85,0.4257,116.9439
92,2005-06-01,162.09,162.7,0.2738,115.7764
93,2005-06-02,157.46,158.7,0.5589,112.4685
94,2005-06-03,158.82,159.57,0.4715,113.4414
95,2005-06-06,161.82,159.55,0.3521,115.5818
96,2005-06-07,161.82,163.31,0.4943,115.5818
97,2005-06-08,176.8,171.76,1.5618,126.2839
98,2005-06-09,176.53,176.75,1.5093,126.0893
99,2005-06-10,179.25,181.84,1.8241,128.0351
100,2005-06-13,177.07,177.3,0.9766,126.4784
101,2005-06-14,174.08,177.83,0.7353,124.338
102,2005-06-15,169.45,171.14,0.5154,121.0301
103,2005-06-16,173.53,172.24,0.4751,123.9489
104,2005-06-20,174.08,172.42,1.082,124.338
105,2005-06-21,174.08,175.27,0.6733,124.338
106,2005-06-22,176.53,176.02,0.622,126.0893
107,2005-06-23,169.72,172.25,0.8156,121.2247
108,2005-06-24,171.35,170.22,0.3744,122.3922
109,2005-06-27,174.89,175.33,0.7996,124.9218
110,2005-06-28,170.26,170.92,0.5108,121.6139
111,2005-06-29,169.45,170.26,0.2248,121.0301
112,2005-06-30,161.55,164.21,0.788,115.3873
113,2005-07-01,157.73,158.68,0.5402,112.6631
114,2005-07-04,159.09,156.01,0.3951,113.636
115,2005-07-05,156.91,157.48,0.1955,112.0794
116,2005-07-06,154.46,155.72,0.2988,110.3281
117,2005-07-07,154.19,154.43,0.1928,110.1335
118,2005-07-08,148.74,149.85,0.4801,106.2419
119,2005-07-11,149.56,151.21,0.3134,106.8256
120,2005-07-12,158.28,155.99,0.574,113.0523
121,2005-07-13,156.1,156.52,0.2986,111.4956
122,2005-07-14,156.91,157.19,0.2416,112.0794
123,2005-07-15,154.19,155.16,0.226,110.1335
124,2005-07-18,153.92,153.19,0.3148,109.939
125,2005-07-19,155.82,154.61,0.3651,111.301
126,2005-07-20,157.73,157.36,0.3953,112.6631
127,2005-07-21,157.46,156.53,0.1851,112.4685
128,2005-07-22,162.09,162.1,0.895,115.7764
129,2005-07-25,161.82,162.04,0.3888,115.5818
130,2005-07-26,163.72,164.33,0.6104,116.9439
131,2005-07-27,165.36,163.46,0.5171,118.1114
132,2005-07-28,164.0,165.44,0.6756,117.1385
133,2005-07-29,161.55,161.93,0.4291,115.3873
134,2005-08-01,161.55,160.69,0.3783,115.3873
135,2005-08-02,164.0,161.79,0.4448,117.1385
136,2005-08-03,166.18,168.47,1.1029,118.6952
137,2005-08-04,164.54,165.46,0.4858,117.5277
138,2005-08-05,169.45,168.66,1.0586,121.0301
139,2005-08-08,169.99,169.87,0.6886,121.4193
140,2005-08-09,170.81,169.31,0.6,122.003
141,2005-08-10,171.62,170.99,0.8195,122.5868
142,2005-08-11,176.26,174.36,1.5987,125.8947
143,2005-08-12,168.9,172.25,1.1961,120.641
144,2005-08-15,171.62,169.97,0.6931,122.5868
145,2005-08-16,167.54,168.57,0.7868,119.6681
146,2005-08-17,168.63,166.19,0.7416,120.4464
147,2005-08-18,164.0,167.09,0.9553,117.1385
148,2005-08-19,162.63,163.33,0.5548,116.1656
149,2005-08-22,164.54,164.03,0.3306,117.5277
150,2005-08-23,163.18,162.44,0.4692,116.5547
151,2005-08-24,164.27,164.32,0.3523,117.3331
152,2005-08-25,163.72,163.54,0.3064,116.9439
153,2005-08-26,167.54,167.2,0.7037,119.6681
154,2005-08-29,165.63,167.29,0.5452,118.306
155,2005-08-30,166.99,167.87,0.6273,119.2789
156,2005-08-31,169.72,167.95,0.716,121.2247
157,2005-09-01,171.35,170.9,1.0846,122.3922
158,2005-09-02,170.53,172.4,0.9418,121.8085
159,2005-09-05,171.9,170.36,0.5533,122.7814
160,2005-09-06,167.54,169.85,0.642,119.6681
161,2005-09-07,169.17,167.62,0.5977,120.8356
162,2005-09-08,172.17,171.92,1.2769,122.976
163,2005-09-09,170.26,172.4,0.7033,121.6139
164,2005-09-12,169.99,169.66,0.3517,121.4193
165,2005-09-13,172.44,170.5,0.5827,123.1705
166,2005-09-14,173.8,173.08,0.9538,124.1435
167,2005-09-15,171.08,171.68,0.587,122.1976
168,2005-09-16,171.62,172.05,0.5167,122.5868
169,2005-09-19,171.08,170.42,0.4932,122.1976
170,2005-09-20,167.27,168.25,0.7497,119.4735
171,2005-09-21,164.27,165.85,0.5932,117.3331
172,2005-09-22,160.73,161.54,0.6662,114.8035
173,2005-09-23,159.37,160.25,0.3343,113.8306
174,2005-09-26,161.82,160.0,0.2909,115.5818
175,2005-09-27,156.91,158.28,0.357,112.0794
176,2005-10-21,172.71,172.21,1.2563,123.3651
177,2005-10-24,170.26,174.03,2.6868,121.6139
178,2005-10-25,165.63,166.71,1.2387,118.306
179,2005-10-26,161.27,163.22,0.956,115.1927
180,2005-10-27,158.82,160.14,0.7105,113.4414
181,2005-10-28,152.01,154.76,0.7246,108.5769
