2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
sh.600418,sh.600497,sh.600547,sh.600519,sh.600528,sh.600598,sh.600690,sh.600694,sh.600783,sh.600886,sh.600867,sh.600926,sh.600958,sh.600977,sh.601117,sh.601229,sh.601390
sh.600428,sh.600498,sh.600548,sh.600528,sh.600547,sh.600600,sh.600694,sh.600703,sh.600795,sh.600887,sh.600871,sh.600958,sh.600977,sh.600989,sh.601138,sh.601231,sh.601398
sh.600456,sh.600500,sh.600549,sh.600547,sh.600549,sh.600635,sh.600703,sh.600705,sh.600804,sh.600893,sh.600873,sh.600959,sh.600998,sh.600998,sh.601155,sh.601236,sh.601600
sh.600460,sh.600501,sh.600550,sh.600548,sh.600550,sh.600642,sh.600718,sh.600718,sh.600809,sh.600895,sh.600875,sh.600977,sh.600999,sh.600999,sh.601162,sh.601238,sh.601601
sh.600498,sh.600508,sh.600569,sh.600549,sh.600569,sh.600649,sh.600739,sh.600739,sh.600827,sh.600900,sh.600886,sh.600999,sh.601006,sh.601006,sh.601166,sh.601288,sh.601618
sh.600500,sh.600519,sh.600583,sh.600550,sh.600583,sh.600655,sh.600741,sh.600741,sh.600832,sh.600958,sh.600887,sh.601006,sh.601009,sh.601009,sh.601169,sh.601318,sh.601628
sh.600508,sh.600521,sh.600585,sh.600569,sh.600585,sh.600660,sh.600770,sh.600783,sh.600837,sh.600959,sh.600893,sh.601009,sh.601012,sh.601012,sh.601186,sh.601319,sh.601633
sh.600519,sh.600528,sh.600591,sh.600582,sh.600588,sh.600664,sh.600779,sh.600795,sh.600839,sh.600998,sh.600895,sh.601012,sh.601018,sh.601018,sh.601198,sh.601328,sh.601658
sh.600521,sh.600535,sh.600595,sh.600583,sh.600595,sh.600674,sh.600783,sh.600804,sh.600863,sh.600999,sh.600900,sh.601018,sh.601021,sh.601021,sh.601211,sh.601336,sh.601668
sh.600535,sh.600547,sh.600596,sh.600585,sh.600596,sh.600675,sh.600795,sh.600809,sh.600867,sh.601006,sh.600958,sh.601021,sh.601066,sh.601066,sh.601216,sh.601360,sh.601669
