year,code,weight
2007,600000,0.0005797641040023279
2007,600001,0.0
2007,600004,5.2003568729104355e-05
2007,600005,0.0007940250783235543
2007,600006,7.79515784947593e-05
2007,600008,0.00013212157310540085
2007,600009,0.0005312444224290796
2007,600010,0.0002720347201507199
2007,600011,0.00012814888590803228
2007,600012,2.486472139374058e-05
2007,600015,0.0001993715970949866
2007,600016,0.004335437530962471
2007,600018,0.002058878198076848
2007,600019,0.0005359421038329372
2007,600020,5.58110676730832e-05
2007,600021,2.7746730600594775e-05
2007,600022,4.788898335122098e-05
2007,600026,6.467205970560876e-05
2007,600027,3.098484217930522e-05
2007,600028,0.0004933854335607629
2007,600029,5.0104151287053726e-05
2007,600030,0.0006190956382584916
2007,600031,0.0001542846276282514
2007,600033,8.956765557090255e-05
2007,600035,1.9958409465152144e-05
2007,600036,0.0020485586250545977
2007,600037,0.0002568039906255881
2007,600050,0.0005337347730253678
2007,600057,5.1302947654579955e-05
2007,600058,8.620564806968923e-05
2007,600060,3.658230937575656e-05
2007,600062,7.353598671540527e-05
2007,600073,1.7717361484916653e-05
2007,600078,7.807033868065756e-05
2007,600085,0.0001162951932311924
2007,600087,0.0
2007,600088,3.057135713636581e-05
2007,600089,0.0002385978772103475
2007,600091,3.0486243461261235e-05
2007,600096,6.426050894563458e-05
2007,600098,0.00015613285713824522
2007,600100,0.0002718649119029591
2007,600102,0.0
2007,600104,0.0005187433714262244
2007,600108,0.00020177088006116374
2007,600110,7.014520780924609e-05
2007,600115,2.0147826490585347e-05
2007,600117,3.742960633645653e-05
2007,600121,4.484409290849961e-05
2007,600123,8.759715242852268e-05
2007,600125,0.00025957174930518815
2007,600126,2.7798287737925263e-05
2007,600132,7.762334428676945e-05
2007,600138,6.606804037977844e-05
2007,600143,0.00026657739141119967
2007,600151,0.00010932928180198169
2007,600153,9.61523366329243e-05
2007,600166,7.017825801908658e-05
2007,600170,3.1384180901259355e-05
2007,600171,4.818757053464549e-05
2007,600177,0.0008457316218047275
2007,600183,0.00021949538605287977
2007,600188,6.189415076898513e-05
2007,600196,0.00022193181158329162
2007,600198,5.25326080682003e-05
2007,600205,0.0
2007,600207,1.0228626319719577e-05
2007,600210,0.00013364484963349402
2007,600215,2.4525493129329956e-05
2007,600220,0.00014066725916138525
2007,600221,2.6605343487998363e-05
2007,600231,3.8940737745036295e-05
2007,600236,6.588346752066286e-05
2007,600256,0.00011184970917878175
2007,600266,5.6241699265528774e-05
2007,600267,4.521996418393554e-05
2007,600269,0.00020772715952248975
2007,600270,0.00010791429417283191
2007,600271,9.779153668156784e-05
2007,600276,0.0001416372989176576
2007,600282,4.401920688568682e-05
2007,600296,0.0
2007,600299,6.31353987320171e-05
2007,600307,2.6952340113747647e-05
2007,600308,0.0001608534092429793
2007,600309,0.0015341637116960151
2007,600320,0.0012277966202790473
2007,600331,0.00017177004342801324
2007,600333,2.554981281433893e-05
