,add,intersection
2007-04-05,0.0,0.0
2007-04-06,0.0,0.0
2007-04-09,0.0,0.0
2007-04-10,-5.708036693755939e-06,0.0
2007-04-11,1.443174543671533e-05,0.0
2007-04-12,0.0,0.0
2007-04-13,7.20059215461825e-06,0.0
2007-04-16,0.0,0.0
2007-04-17,0.0,0.0
2007-04-18,0.0,0.0
2007-04-19,-0.0001373035644373691,-1.1111417224959331e-06
2007-04-20,-3.4729558671777906e-05,0.0
2007-04-23,3.305131619914191e-05,0.0
2007-04-24,7.410613567970175e-08,0.0
2007-04-25,0.0,0.0
2007-04-26,2.971378834437934e-05,1.9428288051209673e-05
2007-04-27,-3.851869062749763e-05,1.4612323313885102e-06
2007-04-30,-3.420306486215354e-06,-3.5444138081068464e-06
2007-05-08,0.0,0.0
2007-05-09,9.654189378999042e-06,0.0
2007-05-10,0.0,0.0
2007-05-11,0.0,0.0
2007-05-14,-5.0335991233232785e-06,-1.3385710131290182e-05
2007-05-15,-4.070361144869796e-05,0.0
2007-05-16,0.0,0.0
2007-05-17,0.0,0.0
2007-05-18,0.0,0.0
2007-05-21,2.98169641474152e-06,0.0
2007-05-22,-1.5565330152454133e-05,0.0
2007-05-23,4.366539646322493e-06,0.0
2007-05-24,0.0,0.0
2007-05-25,0.0,0.0
2007-05-28,0.0,0.0
2007-05-29,0.0,0.0
2007-05-30,0.0,0.0
2007-05-31,-1.0794989553528029e-05,0.0
2007-06-01,-2.7683561565775224e-05,0.0
2007-06-04,-0.00035749479266928115,0.0
2007-06-05,-0.0005938268787604695,-1.500712832531801e-05
2007-06-06,-1.8030054333255375e-05,-8.989271777676917e-05
2007-06-07,9.267602661983328e-05,-0.00040270497410170266
2007-06-08,3.5867199512890775e-06,-0.0003072535296464406
2007-06-11,7.350322475709098e-05,-9.25089624178372e-06
2007-06-12,0.0018990836253241694,-6.058595711631381e-07
2007-06-13,0.024591613578635842,-6.035569334428603e-06
2007-06-14,0.00013285043889062087,0.0
2007-06-15,-1.7634756252182514e-05,-6.697963233424612e-06
2007-06-18,6.519893677516447e-05,1.940037714542901e-06
2007-06-19,9.493139630515606e-06,0.0
2007-06-20,0.0,1.1072967180737576e-05
2007-06-21,-6.954011555420837e-06,-2.584442815877911e-06
2007-06-22,5.0612789165730215e-06,-3.872308222811211e-06
2007-06-25,-0.02215550042505643,-3.942862095562517e-05
2007-06-26,-0.0005674989488434243,-0.004482126577493974
2007-06-27,0.138207294769274,-0.00017671214701671503
2007-06-28,9.271558897564711e-05,-0.0001721318256086041
2007-06-29,0.0005044744551041355,-0.00018898024464038114
2007-07-02,0.00017940825827585078,-0.035745353456204644
2007-07-03,0.0004771540954942617,-1.9524426495730137e-06
2007-07-04,0.0014967479753922762,-0.00018926797916678237
2007-07-05,-1.852550786587976e-05,-0.0005464731457396599
2007-07-06,0.08431310336992767,0.00020114168662759149
2007-07-09,0.00029094110907014215,4.442048072058648e-05
2007-07-10,0.0005531360569859003,9.634518959560496e-05
2007-07-11,0.0014542958008607295,0.0006051590164117005
2007-07-12,7.729270874695039e-05,0.00014873667493076555
2007-07-13,0.00011200211715038502,7.994498168733268e-05
2007-07-16,0.0005013449408972117,0.00011343461542874415
2007-07-17,0.0001013192057538004,0.0008384714766049155
2007-07-18,0.0009822646629640405,7.21198366962122e-05
2007-07-19,4.6635439361770303e-05,0.0004699694633087243
2007-07-20,1.5875771448158768e-05,6.31361799828312e-05
2007-07-23,3.290338793645433e-05,2.7593740645564717e-05
2007-07-24,0.0,0.0
2007-07-25,3.893680559430947e-05,0.0007744970858458594
2007-07-26,8.37225915994874e-07,0.0
2007-07-27,2.184546277431351e-05,0.0
2007-07-30,0.0,0.05389367041791518
2007-07-31,0.0,0.0
2007-08-01,0.0,0.0
