stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
600958,0.5249,2015-06-17,2019-12-31,-0.2436,-0.0618,0.4189,2015-12-07,2018-12-06,0.1732,0.37,1103,23,0.02,0.3913,1.19,-0.38,0.0293
600989,0.5464,2019-08-09,2019-12-31,-0.0083,-0.0214,0.0246,2019-08-09,2019-10-10,0.0821,0.38,97,2,0.02,0.5,0.68,-0.73,0.0432
600999,0.5059,2012-04-09,2019-12-31,1.5037,0.1312,0.4048,2015-12-04,2018-12-06,0.0481,0.07,1876,42,0.02,0.4286,3.09,0.19,-0.1198
601006,0.5,2012-04-09,2019-12-31,0.6923,0.073,0.3562,2015-05-18,2018-11-27,-0.0016,-0.0,1882,39,0.02,0.4615,2.04,0.27,-0.08
601009,0.4904,2012-04-09,2019-12-31,1.2404,0.1144,0.2616,2017-03-16,2018-11-12,-0.0688,-0.16,1876,36,0.02,0.3889,3.41,0.36,-0.148
601012,0.5051,2012-07-11,2019-12-31,6.3944,0.327,0.3927,2015-05-04,2015-08-26,-0.1408,-0.17,1782,38,0.02,0.5263,2.85,0.46,-0.3106
601021,0.5093,2015-04-23,2019-12-31,0.2481,0.051,0.2677,2015-11-25,2018-01-18,0.0838,0.2,1123,23,0.02,0.5217,1.42,0.2,-0.0618
601066,0.5222,2018-09-12,2019-12-31,1.7721,1.2549,0.3022,2019-04-03,2019-07-11,-0.7175,-0.53,316,7,0.02,0.5714,4.24,1.02,-0.5048
601088,0.4907,2012-04-09,2019-12-31,0.1082,0.0143,0.3405,2015-05-15,2016-05-10,-0.0013,-0.0,1820,39,0.02,0.4872,1.27,0.0,-0.0973
601100,0.4851,2012-04-09,2019-12-31,1.2775,0.119,0.3216,2015-10-28,2016-01-12,-0.1541,-0.29,1845,44,0.02,0.4545,2.18,0.31,-0.2635
601111,0.493,2012-04-10,2019-12-31,0.9057,0.092,0.4301,2012-04-10,2014-04-28,0.0108,0.02,1846,39,0.02,0.3846,2.93,0.16,-0.1445
601117,0.5059,2012-04-10,2019-12-31,0.1455,0.0184,0.4332,2015-05-19,2018-12-25,-0.0003,-0.0,1880,38,0.02,0.5,1.25,0.02,-0.1392
601138,0.4923,2018-09-03,2019-12-31,-0.0155,-0.0121,0.1701,2018-09-03,2019-05-10,-0.2071,-0.45,323,9,0.03,0.5556,0.82,-0.14,-0.3119
601155,0.513,2016-03-18,2019-12-31,1.2551,0.2483,0.3945,2018-04-24,2018-10-16,-0.2002,-0.3,924,20,0.02,0.55,1.99,0.43,-0.2811
601166,0.4947,2012-04-17,2019-12-31,0.2583,0.0314,0.2355,2017-08-11,2019-12-31,-0.1299,-0.34,1874,43,0.02,0.3256,2.85,0.07,-0.1849
601169,0.491,2012-04-16,2019-12-31,0.6356,0.0697,0.1788,2016-01-14,2019-12-31,-0.0199,-0.06,1839,38,0.02,0.3947,2.91,0.26,-0.0893
601186,0.5053,2012-04-10,2019-12-31,1.8003,0.1483,0.623,2015-05-19,2019-10-10,-0.0029,-0.0,1876,46,0.02,0.4565,2.88,0.18,-0.1458
601211,0.4823,2015-09-22,2019-12-31,-0.2908,-0.0797,0.43,2015-12-04,2018-12-26,-0.0844,-0.24,1043,24,0.02,0.2917,1.46,-0.6,-0.1694
601216,0.5071,2012-04-09,2019-12-31,2.1847,0.1803,0.4113,2015-07-02,2016-01-07,0.0534,0.07,1761,37,0.02,0.4595,2.76,0.29,-0.1915
601225,0.5058,2014-04-30,2019-12-31,1.2132,0.1554,0.6079,2015-05-22,2016-05-17,-0.0311,-0.05,1386,32,0.02,0.5625,1.65,0.3,-0.2036
601229,0.5185,2017-02-16,2019-12-31,0.0649,0.0228,0.1738,2018-06-12,2019-08-27,0.0173,0.07,704,16,0.02,0.5625,1.0,0.07,-0.0266
601236,0.5,2019-09-30,2019-12-31,0.182,0.9731,0,2019-09-30,2019-09-30,0.3695,0.72,62,2,0.03,1.0,,3.31,0.0325
601238,0.5052,2012-07-03,2019-12-31,0.2105,0.0268,0.3748,2015-12-04,2019-05-10,-0.1236,-0.27,1817,42,0.02,0.4048,1.97,0.04,-0.2236
601288,0.4971,2012-04-10,2019-12-31,0.5063,0.0564,0.194,2015-05-13,2016-04-11,-0.0509,-0.18,1883,40,0.02,0.45,2.24,0.24,-0.0921
601318,0.5112,2012-04-10,2019-12-31,2.6229,0.1881,0.4068,2017-12-12,2018-11-23,-0.0577,-0.13,1882,41,0.02,0.5854,2.02,0.52,-0.1378
