stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
300759,0.494,2019-04-30,2019-12-31,0.0424,0.0651,0.1471,2019-10-22,2019-11-22,-0.6894,-1.2,166,13,0.08,0.3846,1.98,0.13,-0.5084
300760,0.4874,2019-01-10,2019-12-31,0.4566,0.4892,0.0627,2019-07-09,2019-07-31,-0.3441,-0.79,238,12,0.05,0.5833,3.25,1.72,-0.2753
300763,0.4296,2019-06-18,2019-12-31,-0.1407,-0.2465,0.2508,2019-06-18,2019-12-09,-0.1611,-0.42,135,12,0.09,0.1667,2.76,-1.0,-0.2442
300769,0.4615,2019-07-12,2019-12-31,0.1898,0.454,0.1571,2019-07-12,2019-11-18,-0.0556,-0.08,117,8,0.07,0.25,7.1,0.71,-0.185
300782,0.4533,2019-09-10,2019-12-31,-0.0563,-0.1769,0.0563,2019-09-10,2019-12-20,-1.0397,-1.98,75,6,0.08,0.0,,-3.88,-0.6685
600000,0.5046,2012-04-09,2019-12-31,1.6292,0.1407,0.2238,2013-02-08,2013-07-19,-0.0025,-0.01,1851,114,0.06,0.2895,4.62,0.41,-0.079
600009,0.4841,2012-04-09,2019-12-31,0.4049,0.0465,0.3608,2018-06-20,2019-01-23,-0.2536,-0.61,1884,122,0.06,0.3607,2.26,0.13,-0.2811
600010,0.4965,2012-04-09,2019-12-31,-0.2164,-0.033,0.5039,2015-05-05,2016-10-31,0.039,0.08,1833,111,0.06,0.2613,2.85,-0.16,-0.1165
600011,0.4806,2012-04-10,2019-12-31,-0.3025,-0.0471,0.6097,2015-05-07,2018-02-01,-0.0968,-0.24,1883,114,0.06,0.3158,2.01,-0.25,-0.1865
600015,0.4894,2012-04-09,2019-12-31,0.606,0.0654,0.2574,2013-02-18,2014-07-09,-0.0128,-0.04,1884,114,0.06,0.3158,3.13,0.24,-0.0859
600016,0.4939,2012-04-11,2019-12-31,0.7614,0.0788,0.3541,2015-05-08,2017-05-19,-0.0129,-0.03,1881,110,0.06,0.3545,2.99,0.19,-0.0856
600018,0.488,2012-04-09,2019-12-31,0.8459,0.0878,0.4835,2015-05-05,2016-06-13,-0.0452,-0.07,1836,101,0.06,0.2673,4.47,0.14,-0.1767
600019,0.5103,2012-04-10,2019-12-31,0.7463,0.0816,0.5389,2015-05-07,2016-03-24,0.0133,0.03,1791,92,0.05,0.3587,2.71,0.26,-0.1049
600025,0.532,2018-03-19,2019-12-31,0.3025,0.1642,0.15,2018-03-19,2018-09-28,0.1145,0.29,438,22,0.05,0.2727,4.96,0.55,0.0183
600028,0.483,2012-04-09,2019-12-31,0.0082,0.0011,0.374,2015-05-06,2016-02-25,-0.0443,-0.14,1884,109,0.06,0.3119,2.37,-0.07,-0.1066
600029,0.5085,2012-04-09,2019-12-31,1.7404,0.145,0.4597,2015-07-01,2016-11-07,0.0662,0.11,1876,109,0.06,0.3761,3.01,0.29,-0.1123
600030,0.4837,2012-04-09,2019-12-31,2.1377,0.1663,0.3287,2015-04-20,2015-08-18,0.0376,0.06,1873,108,0.06,0.2963,4.51,0.27,-0.1112
600031,0.4862,2012-04-10,2019-12-31,2.0047,0.1589,0.3109,2013-02-20,2014-07-08,0.111,0.22,1880,99,0.05,0.3434,3.44,0.43,-0.0477
600036,0.4666,2012-04-09,2019-12-31,0.4862,0.0548,0.3067,2018-02-07,2018-11-09,-0.1696,-0.45,1873,118,0.06,0.3475,2.55,0.16,-0.2068
600039,0.4767,2012-04-09,2019-12-31,0.3933,0.0458,0.4508,2015-06-19,2016-06-13,-0.0033,-0.01,1867,112,0.06,0.2946,3.24,0.09,-0.1425
600048,0.4742,2012-04-09,2019-12-31,-0.1089,-0.0154,0.5037,2015-05-06,2016-06-13,-0.1865,-0.39,1877,113,0.06,0.354,1.94,-0.1,-0.2844
600050,0.4891,2012-04-09,2019-12-31,0.4399,0.0527,0.4545,2015-05-07,2016-06-13,-0.0088,-0.02,1789,108,0.06,0.3426,2.59,0.12,-0.1411
600061,0.4877,2012-04-09,2019-12-31,3.5742,0.244,0.4404,2015-12-25,2018-10-08,0.0984,0.08,1755,108,0.06,0.2593,6.65,0.22,-0.1544
600085,0.4756,2012-04-09,2019-12-31,0.6414,0.0685,0.3068,2016-01-05,2019-01-25,-0.0428,-0.1,1884,111,0.06,0.3423,2.71,0.21,-0.1473
600089,0.4692,2012-04-09,2019-12-31,0.2716,0.033,0.3922,2015-04-29,2016-09-12,0.0179,0.04,1865,108,0.06,0.287,3.19,0.06,-0.0937
600104,0.4791,2012-04-09,2019-12-31,0.5259,0.0588,0.2541,2013-01-10,2014-03-19,-0.0713,-0.19,1864,119,0.06,0.3361,2.7,0.25,-0.1556
600111,0.4745,2012-04-09,2019-12-31,-0.2897,-0.0447,0.4564,2012-05-24,2014-07-07,0.0512,0.1,1884,115,0.06,0.2522,2.99,-0.17,-0.1164
600115,0.5043,2012-04-09,2019-12-31,0.9973,0.0979,0.5018,2015-06-29,2018-10-08,0.0338,0.06,1866,109,0.06,0.3303,3.19,0.23,-0.1347
600132,0.4732,2012-04-16,2019-12-31,0.1968,0.0246,0.4341,2012-04-16,2012-12-12,-0.0726,-0.15,1864,116,0.06,0.3793,1.98,0.04,-0.1991
600150,0.4869,2012-04-09,2019-12-31,1.3753,0.132,0.4537,2015-05-29,2016-06-13,0.1509,0.22,1758,102,0.06,0.3333,3.28,0.24,-0.095
600176,0.4786,2012-04-09,2019-12-31,0.0646,0.0085,0.4454,2015-06-16,2019-10-24,-0.1816,-0.33,1872,114,0.06,0.2719,3.13,-0.01,-0.2928
600183,0.4792,2012-04-09,2019-12-31,0.6155,0.0665,0.4969,2015-06-17,2017-06-23,-0.2173,-0.39,1878,119,0.06,0.3361,2.66,0.14,-0.3046
600188,0.4835,2012-04-10,2019-12-31,-0.4977,-0.0882,0.6195,2012-04-10,2019-01-30,-0.0247,-0.05,1880,114,0.06,0.2982,2.04,-0.35,-0.2009
600196,0.4928,2012-04-11,2019-12-31,0.9307,0.093,0.3961,2018-06-04,2018-12-07,-0.0765,-0.16,1865,104,0.06,0.3654,2.51,0.25,-0.1925
600219,0.511,2012-04-10,2019-12-31,0.7462,0.0823,0.3353,2015-06-16,2016-05-30,0.086,0.21,1777,90,0.05,0.3889,2.35,0.26,-0.0284
600233,0.4891,2012-04-09,2019-12-31,1.7136,0.1512,0.345,2016-10-26,2019-08-30,-0.0016,-0.0,1787,114,0.06,0.2982,3.9,0.29,-0.2028
600276,0.4785,2012-04-09,2019-12-31,1.3003,0.1179,0.435,2015-05-08,2016-06-14,-0.2954,-0.71,1883,125,0.07,0.336,3.09,0.39,-0.2906
600309,0.4811,2012-04-11,2019-12-31,0.7016,0.0796,0.4679,2015-06-12,2016-03-24,-0.2243,-0.48,1750,111,0.06,0.3153,2.94,0.24,-0.2843
600332,0.4715,2012-06-29,2019-12-31,-0.1733,-0.0272,0.4939,2018-06-01,2019-11-11,-0.1027,-0.21,1739,111,0.06,0.2973,2.38,-0.16,-0.2433
600346,0.4848,2012-04-10,2019-12-31,2.3227,0.2108,0.3411,2012-04-10,2012-11-16,-0.1405,-0.23,1582,96,0.06,0.3125,4.05,0.46,-0.2673
600362,0.4707,2012-04-09,2019-12-31,-0.1934,-0.0285,0.382,2012-05-10,2016-06-24,0.0007,0.0,1876,114,0.06,0.2632,2.79,-0.17,-0.1409
600383,0.4957,2012-04-09,2019-12-31,1.8882,0.1526,0.308,2018-01-25,2018-10-08,-0.013,-0.03,1882,102,0.05,0.4118,2.54,0.47,-0.1623
600406,0.4897,2012-04-10,2019-12-31,0.6079,0.0711,0.4404,2015-06-16,2019-08-21,0.0021,0.0,1742,98,0.06,0.398,2.1,0.19,-0.1551
600426,0.4795,2012-04-10,2019-12-31,0.3831,0.0445,0.4205,2015-06-23,2016-06-13,-0.17,-0.35,1877,122,0.06,0.3525,2.29,0.1,-0.2702
600436,0.4791,2012-04-10,2019-12-31,2.7294,0.1941,0.3096,2012-07-19,2014-06-19,-0.1045,-0.2,1870,112,0.06,0.3214,3.96,0.54,-0.2095
600438,0.4643,2012-04-09,2019-12-31,2.2763,0.1878,0.4547,2015-06-12,2017-06-12,-0.0943,-0.12,1738,119,0.07,0.2773,4.67,0.29,-0.2591
600460,0.4734,2012-04-10,2019-12-31,1.571,0.141,0.3659,2012-04-10,2012-12-13,-0.0582,-0.08,1804,111,0.06,0.2883,3.98,0.24,-0.2674
600519,0.4867,2012-04-09,2019-12-31,2.8624,0.1983,0.2732,2018-01-18,2018-11-23,-0.1231,-0.29,1882,118,0.06,0.3898,3.17,0.66,-0.1811
600547,0.4735,2012-04-25,2019-12-31,0.7933,0.0904,0.3632,2012-09-26,2014-07-16,0.0447,0.08,1700,104,0.06,0.3269,2.98,0.23,-0.1294
600570,0.4748,2012-04-09,2019-12-31,3.2992,0.223,0.3872,2017-09-14,2018-12-14,-0.1113,-0.14,1826,107,0.06,0.3084,4.19,0.37,-0.3128
600584,0.4859,2012-04-10,2019-12-31,0.9754,0.1085,0.4729,2017-11-16,2019-01-31,-0.1249,-0.18,1665,101,0.06,0.2772,3.79,0.2,-0.3071
600585,0.4909,2012-04-09,2019-12-31,1.2527,0.1153,0.3553,2015-06-17,2016-02-25,-0.0917,-0.21,1876,108,0.06,0.3241,3.24,0.39,-0.1828
600588,0.4785,2012-04-13,2019-12-31,0.9364,0.0935,0.4422,2015-06-16,2017-05-22,-0.1323,-0.18,1864,112,0.06,0.3214,2.97,0.16,-0.3305
600600,0.47,2012-04-09,2019-12-31,0.1681,0.021,0.4272,2013-10-25,2017-08-31,-0.0484,-0.13,1883,117,0.06,0.3077,2.64,0.03,-0.136
600606,0.4941,2012-04-09,2019-12-31,2.9598,0.2281,0.3925,2012-05-15,2012-11-26,0.1486,0.2,1688,102,0.06,0.3529,3.87,0.38,-0.1033
600660,0.4753,2012-04-10,2019-12-31,0.3872,0.0448,0.4206,2015-04-10,2015-09-23,-0.1715,-0.48,1883,120,0.06,0.3333,2.51,0.14,-0.2103
600674,0.4846,2012-04-13,2019-12-31,0.5199,0.0578,0.356,2015-06-19,2016-06-13,-0.1294,-0.36,1878,119,0.06,0.4202,1.89,0.2,-0.1814
600690,0.4872,2012-04-09,2019-12-31,1.7176,0.1508,0.372,2015-06-15,2016-06-13,-0.081,-0.18,1794,103,0.06,0.3689,2.89,0.49,-0.1825
600741,0.4774,2012-04-09,2019-12-31,0.0865,0.0113,0.4972,2015-05-06,2016-03-11,-0.1826,-0.43,1856,124,0.07,0.3306,2.29,-0.01,-0.2506
600745,0.469,2012-04-10,2019-12-31,6.915,0.4493,0.4095,2012-04-10,2012-12-11,-0.0198,-0.02,1405,85,0.06,0.3529,4.7,0.54,-0.2874
600760,0.4941,2012-04-09,2019-12-31,5.1784,0.2932,0.3552,2017-03-23,2019-05-17,0.0777,0.08,1785,101,0.06,0.3168,4.92,0.35,-0.2055
600763,0.4517,2012-04-10,2019-12-31,0.2288,0.0305,0.4805,2015-12-22,2017-10-17,-0.3781,-0.74,1727,116,0.07,0.3017,2.8,0.05,-0.3824
600795,0.4818,2012-04-10,2019-12-31,0.2061,0.0263,0.6247,2015-05-21,2016-06-24,-0.0011,-0.0,1818,106,0.06,0.283,3.3,0.04,-0.0832
600803,0.4555,2012-05-14,2019-12-31,-0.4663,-0.0847,0.5986,2015-06-16,2019-12-10,-0.096,-0.18,1787,123,0.07,0.2846,2.2,-0.33,-0.2657
600809,0.4735,2012-04-10,2019-12-31,0.5979,0.0652,0.5528,2013-03-18,2016-03-11,-0.0887,-0.16,1871,115,0.06,0.3304,2.66,0.14,-0.2324
600837,0.4766,2012-04-09,2019-12-31,1.1135,0.1054,0.4708,2015-05-04,2018-10-08,0.022,0.04,1882,117,0.06,0.2991,3.84,0.21,-0.1294
600845,0.4791,2012-04-10,2019-12-31,1.5869,0.1408,0.3947,2015-11-18,2018-12-28,-0.1167,-0.18,1818,112,0.06,0.3304,3.13,0.31,-0.2812
600884,0.4957,2012-04-09,2019-12-31,1.3497,0.1226,0.3095,2015-06-16,2015-09-14,0.0082,0.01,1862,113,0.06,0.2389,4.84,0.22,-0.1934
600886,0.4871,2012-04-10,2019-12-31,1.9678,0.1625,0.3077,2015-05-06,2016-06-24,-0.0613,-0.15,1821,105,0.06,0.4095,2.88,0.57,-0.1315
600887,0.4634,2012-04-10,2019-12-31,-0.4058,-0.0682,0.5534,2015-06-04,2019-01-03,-0.3054,-0.69,1856,135,0.07,0.2444,2.83,-0.28,-0.3336
600893,0.4823,2012-04-11,2019-12-31,0.7931,0.0876,0.4378,2015-11-24,2019-12-23,0.0285,0.05,1752,109,0.06,0.2844,3.63,0.19,-0.1576
600900,0.4966,2012-04-09,2019-12-31,1.4429,0.1351,0.1456,2017-11-15,2019-12-23,-0.0794,-0.28,1776,104,0.06,0.3654,3.73,0.6,-0.1023
600919,0.5226,2016-11-03,2019-12-31,-0.0972,-0.0328,0.2389,2017-03-06,2018-09-17,0.0452,0.2,773,43,0.06,0.2791,2.13,-0.39,0.0106
600926,0.4944,2017-01-20,2019-12-31,0.0106,0.0037,0.2178,2017-03-20,2018-12-06,0.0121,0.05,718,40,0.06,0.425,1.45,-0.08,-0.0437
600958,0.4796,2015-06-17,2019-12-31,-0.3835,-0.1046,0.5088,2015-06-17,2019-01-28,0.1304,0.27,1103,67,0.06,0.2239,2.61,-0.42,-0.0043
600989,0.5258,2019-08-09,2019-12-31,-0.0536,-0.1334,0.0536,2019-08-09,2019-12-23,-0.0299,-0.14,97,5,0.05,0.0,,-3.42,-0.0746
600999,0.4915,2012-04-09,2019-12-31,0.9746,0.0957,0.4192,2015-04-21,2018-10-11,0.0126,0.02,1876,112,0.06,0.3036,3.72,0.15,-0.1395
601006,0.4734,2012-04-09,2019-12-31,-0.0709,-0.0098,0.5672,2015-05-05,2016-07-22,-0.0844,-0.23,1882,113,0.06,0.3097,2.37,-0.1,-0.1463
601009,0.4803,2012-04-09,2019-12-31,0.4585,0.052,0.2516,2015-06-18,2015-09-24,-0.1312,-0.36,1876,116,0.06,0.3276,2.69,0.18,-0.1907
601012,0.4905,2012-07-11,2019-12-31,10.3608,0.4101,0.3177,2013-10-17,2014-06-04,-0.0577,-0.07,1782,104,0.06,0.3462,4.6,0.61,-0.2648
601021,0.4639,2015-04-23,2019-12-31,-0.4066,-0.1105,0.5297,2015-11-11,2018-12-06,-0.0777,-0.19,1123,70,0.06,0.3286,1.41,-0.64,-0.2009
601066,0.4968,2018-09-12,2019-12-31,1.6459,1.1726,0.2861,2019-03-19,2019-06-28,-0.7998,-0.57,316,17,0.05,0.3529,6.85,0.93,-0.526
601088,0.4901,2012-04-09,2019-12-31,0.0231,0.0032,0.419,2015-05-04,2016-06-13,-0.0124,-0.03,1820,112,0.06,0.3393,2.16,-0.05,-0.1035
601100,0.4829,2012-04-09,2019-12-31,2.2366,0.174,0.2187,2015-06-19,2016-03-11,-0.0991,-0.18,1845,107,0.06,0.3364,3.45,0.45,-0.2288
601111,0.4957,2012-04-10,2019-12-31,1.2626,0.1179,0.3163,2017-11-28,2018-10-09,0.0367,0.07,1846,107,0.06,0.3458,3.11,0.27,-0.118
601117,0.483,2012-04-10,2019-12-31,0.238,0.029,0.4248,2015-05-06,2016-06-24,0.0103,0.02,1880,113,0.06,0.354,2.22,0.06,-0.1269
601138,0.5015,2018-09-03,2019-12-31,0.1007,0.0777,0.1655,2019-03-14,2019-11-07,-0.1173,-0.23,323,21,0.07,0.381,2.29,0.25,-0.2531
601155,0.5238,2016-03-18,2019-12-31,3.4082,0.4987,0.3604,2018-02-07,2018-09-28,0.0502,0.07,924,40,0.04,0.4,4.51,0.86,-0.1504
601166,0.4936,2012-04-17,2019-12-31,1.9628,0.1573,0.1971,2015-04-21,2016-02-25,-0.004,-0.01,1874,106,0.06,0.3491,3.97,0.44,-0.0879
601169,0.5079,2012-04-16,2019-12-31,0.5206,0.0591,0.1887,2016-12-07,2018-12-07,-0.0305,-0.1,1839,106,0.06,0.3774,2.39,0.28,-0.0993
601186,0.4952,2012-04-10,2019-12-31,1.8463,0.1509,0.4608,2015-05-06,2019-11-11,-0.0003,-0.0,1876,100,0.05,0.31,4.38,0.2,-0.1555
601211,0.4813,2015-09-22,2019-12-31,0.0031,0.0007,0.2546,2015-12-25,2018-11-08,-0.004,-0.01,1043,66,0.06,0.3485,1.98,-0.08,-0.0921
601216,0.4781,2012-04-09,2019-12-31,2.4343,0.1931,0.3261,2015-06-16,2016-08-11,0.0662,0.09,1761,107,0.06,0.2804,4.58,0.37,-0.1811
601225,0.4697,2014-04-30,2019-12-31,0.7936,0.1121,0.329,2015-05-06,2016-01-12,-0.0744,-0.13,1386,82,0.06,0.4146,2.11,0.29,-0.2359
601229,0.5014,2017-02-16,2019-12-31,0.0583,0.0205,0.1132,2018-09-17,2019-01-23,0.015,0.07,704,42,0.06,0.3333,2.36,0.06,-0.0268
601236,0.4677,2019-09-30,2019-12-31,0.1224,0.5989,0.0334,2019-12-24,2019-12-31,-0.0047,-0.01,62,2,0.03,0.5,4.82,1.75,-0.1532
601238,0.4953,2012-07-03,2019-12-31,0.8691,0.0906,0.2542,2013-06-07,2014-06-04,-0.0598,-0.12,1817,107,0.06,0.3364,2.93,0.27,-0.1828
601288,0.4695,2012-04-10,2019-12-31,0.4317,0.0492,0.2244,2018-02-08,2019-04-23,-0.0581,-0.2,1883,111,0.06,0.3243,3.04,0.19,-0.0992
601318,0.4841,2012-04-10,2019-12-31,0.5514,0.0606,0.3653,2017-11-28,2018-12-06,-0.1852,-0.43,1882,123,0.07,0.3008,3.13,0.15,-0.2243
601319,0.507,2019-02-19,2019-12-31,0.5892,0.7211,0.0666,2019-03-14,2019-04-08,0.4786,0.6,215,12,0.06,0.4167,6.75,1.21,0.0695
