stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
600188,0.4957,2012-04-10,2019-12-31,-0.212,-0.0314,0.6656,2012-05-03,2016-01-15,0.0321,0.06,1880,46,0.02,0.5652,0.79,-0.17,-0.1553
600196,0.5121,2012-04-11,2019-12-31,0.9241,0.0925,0.2588,2018-06-25,2018-12-04,-0.077,-0.19,1865,55,0.03,0.6545,1.16,0.57,-0.1968
600219,0.4766,2012-04-10,2019-12-31,-0.5183,-0.0984,0.5495,2012-04-10,2018-09-20,-0.0947,-0.25,1777,37,0.02,0.5405,0.36,-0.69,-0.1959
600233,0.4975,2012-04-09,2019-12-31,0.9159,0.096,0.2581,2012-04-09,2012-12-26,-0.0568,-0.11,1787,50,0.03,0.68,0.92,0.44,-0.2391
600276,0.4923,2012-04-09,2019-12-31,1.4512,0.1275,0.0716,2015-09-08,2016-01-11,-0.2858,-0.83,1883,46,0.02,0.587,2.98,0.87,-0.284
600309,0.4943,2012-04-11,2019-12-31,-0.1171,-0.0178,0.385,2015-08-11,2019-01-16,-0.3217,-0.78,1750,32,0.02,0.625,0.57,-0.2,-0.3525
600332,0.5158,2012-06-29,2019-12-31,0.5155,0.0621,0.2262,2013-08-07,2014-11-28,-0.0134,-0.03,1739,62,0.04,0.5645,1.18,0.26,-0.1772
600346,0.4874,2012-04-10,2019-12-31,0.3579,0.0499,0.3102,2012-04-10,2017-05-12,-0.3014,-0.63,1582,44,0.03,0.5227,1.37,0.19,-0.3636
600362,0.4915,2012-04-09,2019-12-31,-0.3674,-0.0597,0.4896,2012-04-26,2016-01-15,-0.0305,-0.07,1876,60,0.03,0.4833,0.85,-0.38,-0.1664
600383,0.4973,2012-04-09,2019-12-31,1.6479,0.1393,0.1365,2017-12-26,2018-09-26,-0.0263,-0.06,1882,54,0.03,0.6111,1.9,0.81,-0.1666
600406,0.5149,2012-04-10,2019-12-31,0.6624,0.0763,0.3013,2015-08-14,2015-09-30,0.0073,0.02,1742,64,0.04,0.5938,1.21,0.3,-0.1508
600426,0.5029,2012-04-10,2019-12-31,0.3683,0.043,0.3161,2018-08-10,2019-06-10,-0.1715,-0.39,1877,46,0.02,0.6304,0.88,0.17,-0.2761
600436,0.4904,2012-04-10,2019-12-31,0.3047,0.0365,0.3688,2013-06-17,2014-06-27,-0.2621,-0.63,1870,56,0.03,0.5714,1.09,0.12,-0.3115
600438,0.5219,2012-04-09,2019-12-31,4.1717,0.269,0.2509,2018-05-03,2018-09-12,-0.0131,-0.03,1738,54,0.03,0.7593,1.42,0.99,-0.204
600460,0.5028,2012-04-10,2019-12-31,0.4932,0.0576,0.4052,2018-04-18,2019-07-11,-0.1416,-0.25,1804,65,0.04,0.6462,0.81,0.17,-0.3213
600519,0.4984,2012-04-09,2019-12-31,0.4974,0.0555,0.3334,2012-11-01,2014-01-23,-0.2659,-0.78,1882,34,0.02,0.6471,1.03,0.3,-0.2768
600547,0.5029,2012-04-25,2019-12-31,-0.0586,-0.0089,0.5954,2013-01-17,2016-01-15,-0.0546,-0.11,1700,52,0.03,0.5769,0.83,-0.08,-0.2073
600570,0.4797,2012-04-09,2019-12-31,0.2441,0.0306,0.2844,2014-02-27,2017-11-29,-0.3037,-0.53,1826,41,0.02,0.5122,1.34,0.09,-0.4221
600584,0.4973,2012-04-10,2019-12-31,-0.2332,-0.0394,0.5444,2017-03-06,2019-06-14,-0.2728,-0.48,1665,49,0.03,0.551,0.82,-0.2,-0.4044
600585,0.4872,2012-04-09,2019-12-31,1.0216,0.0992,0.1554,2015-07-13,2015-11-26,-0.1078,-0.29,1876,45,0.02,0.6,1.83,0.72,-0.1969
600588,0.4914,2012-04-13,2019-12-31,0.1287,0.0165,0.477,2014-07-22,2017-07-26,-0.2093,-0.36,1864,49,0.03,0.6327,0.72,0.01,-0.3818
600600,0.5226,2012-04-09,2019-12-31,0.3178,0.0376,0.1954,2018-04-24,2019-07-25,-0.0318,-0.09,1883,47,0.02,0.5745,1.14,0.18,-0.1235
600606,0.4947,2012-04-09,2019-12-31,0.7241,0.0847,0.3019,2016-04-11,2017-07-06,0.0052,0.01,1688,48,0.03,0.6042,1.19,0.33,-0.2072
600660,0.5146,2012-04-10,2019-12-31,0.6048,0.0653,0.1806,2013-09-10,2015-10-12,-0.151,-0.47,1883,51,0.03,0.7255,0.76,0.43,-0.1991
600674,0.5011,2012-04-13,2019-12-31,0.7041,0.0741,0.1969,2015-07-13,2016-04-15,-0.1131,-0.36,1878,61,0.03,0.5902,1.5,0.39,-0.1676
600690,0.4955,2012-04-09,2019-12-31,0.291,0.0365,0.3209,2015-08-12,2016-05-06,-0.1953,-0.5,1794,46,0.03,0.6304,0.87,0.14,-0.2633
600741,0.5043,2012-04-09,2019-12-31,0.5071,0.0573,0.2001,2018-03-02,2019-01-11,-0.1366,-0.36,1856,51,0.03,0.6863,0.78,0.31,-0.2218
600745,0.5103,2012-04-10,2019-12-31,1.8757,0.2086,0.3143,2014-02-13,2016-06-03,-0.2605,-0.41,1405,32,0.02,0.5938,1.84,0.63,-0.4037
600760,0.5076,2012-04-09,2019-12-31,2.3304,0.1851,0.3474,2012-04-11,2012-10-31,-0.0304,-0.05,1785,66,0.04,0.6515,1.23,0.69,-0.2632
600763,0.509,2012-04-10,2019-12-31,1.772,0.1604,0.1945,2017-01-11,2017-07-14,-0.2482,-0.55,1727,42,0.02,0.7381,1.39,0.97,-0.3137
600795,0.495,2012-04-10,2019-12-31,-0.294,-0.0471,0.5307,2015-07-22,2018-10-08,-0.0745,-0.22,1818,37,0.02,0.5405,0.63,-0.37,-0.155
600803,0.526,2012-05-14,2019-12-31,1.3415,0.1275,0.3082,2015-02-02,2015-10-09,0.1162,0.23,1787,58,0.03,0.7069,0.84,0.52,-0.0998
600809,0.5094,2012-04-10,2019-12-31,0.0102,0.0014,0.4926,2012-12-18,2013-12-30,-0.1525,-0.3,1871,45,0.02,0.6222,0.77,-0.05,-0.2842
600837,0.4995,2012-04-09,2019-12-31,-0.0421,-0.0057,0.4736,2013-11-19,2018-10-08,-0.0891,-0.2,1882,54,0.03,0.5,1.09,-0.1,-0.2147
600845,0.4983,2012-04-10,2019-12-31,0.9797,0.0993,0.214,2014-06-06,2016-04-13,-0.1582,-0.31,1818,55,0.03,0.6,1.21,0.42,-0.3059
600884,0.4914,2012-04-09,2019-12-31,-0.0191,-0.0026,0.3163,2018-05-07,2019-08-28,-0.117,-0.22,1862,48,0.03,0.5417,0.97,-0.07,-0.2869
600886,0.5178,2012-04-10,2019-12-31,0.733,0.0791,0.3255,2015-04-14,2016-05-24,-0.1447,-0.43,1821,58,0.03,0.6552,1.15,0.42,-0.1949
