stock_code,判断准确率,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,年化超额收益率,信息比率,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率,年化主动投资收益率
600050,0.4913,2012-04-09,2019-12-31,0.4755,0.0563,0.4262,2015-05-27,2016-06-13,-0.0052,-0.01,1789,85,0.05,0.4353,1.91,0.12,-0.1407
600061,0.5202,2012-04-09,2019-12-31,1.857,0.1627,0.4833,2015-12-07,2018-08-03,0.0171,0.02,1755,73,0.04,0.3973,3.28,0.17,-0.2065
600085,0.4904,2012-04-09,2019-12-31,1.1833,0.1101,0.1995,2015-05-14,2015-09-29,-0.0012,-0.0,1884,89,0.05,0.427,2.46,0.37,-0.1107
600089,0.4847,2012-04-09,2019-12-31,-0.0218,-0.003,0.3694,2015-05-19,2019-02-11,-0.0181,-0.04,1865,89,0.05,0.382,1.81,-0.06,-0.1218
600104,0.5011,2012-04-09,2019-12-31,0.8696,0.0883,0.3298,2015-05-06,2015-07-28,-0.0418,-0.11,1864,83,0.04,0.4699,1.81,0.29,-0.1285
600111,0.5021,2012-04-09,2019-12-31,0.2039,0.0251,0.4081,2017-09-12,2019-12-02,0.121,0.23,1884,102,0.05,0.4412,1.56,0.04,-0.0603
600115,0.4968,2012-04-09,2019-12-31,0.2126,0.0264,0.6357,2015-06-01,2018-12-07,-0.0377,-0.06,1866,87,0.05,0.3678,2.39,0.02,-0.1845
600132,0.4839,2012-04-16,2019-12-31,0.9761,0.0965,0.3439,2012-04-16,2014-04-22,-0.0007,-0.0,1864,78,0.04,0.3974,2.51,0.31,-0.1505
600150,0.4881,2012-04-09,2019-12-31,0.2731,0.0352,0.5073,2012-04-09,2014-05-21,0.0541,0.09,1758,77,0.04,0.3896,2.07,0.05,-0.1678
600176,0.492,2012-04-09,2019-12-31,0.2068,0.0256,0.5295,2018-01-31,2019-10-30,-0.1645,-0.3,1872,102,0.05,0.3922,1.99,0.03,-0.2801
600183,0.4883,2012-04-09,2019-12-31,4.1606,0.2463,0.3535,2015-08-19,2016-03-24,-0.0375,-0.06,1878,90,0.05,0.5111,2.14,0.54,-0.1895
600188,0.4936,2012-04-10,2019-12-31,-0.287,-0.0443,0.5767,2012-04-10,2014-07-17,0.0192,0.04,1880,99,0.05,0.3838,1.56,-0.2,-0.1654
600196,0.4987,2012-04-11,2019-12-31,2.7854,0.1971,0.3078,2018-04-12,2019-01-23,0.0276,0.05,1865,87,0.05,0.5172,2.2,0.55,-0.1208
600219,0.5166,2012-04-10,2019-12-31,0.0578,0.008,0.4349,2015-05-06,2016-05-19,0.0117,0.03,1777,88,0.05,0.4432,1.42,-0.03,-0.099
600233,0.4947,2012-04-09,2019-12-31,0.9562,0.0992,0.5172,2016-12-07,2019-09-26,-0.0536,-0.07,1787,84,0.05,0.381,2.77,0.13,-0.2372
600276,0.4891,2012-04-09,2019-12-31,2.1338,0.1652,0.3301,2018-06-29,2018-12-07,-0.2481,-0.59,1883,100,0.05,0.44,2.45,0.52,-0.2577
600309,0.4829,2012-04-11,2019-12-31,1.8367,0.162,0.2706,2013-05-23,2014-06-19,-0.1419,-0.26,1750,68,0.04,0.4118,2.82,0.4,-0.2345
600332,0.4733,2012-06-29,2019-12-31,-0.0145,-0.0021,0.5255,2013-06-04,2016-06-14,-0.0776,-0.16,1739,91,0.05,0.3516,2.05,-0.05,-0.2189
600346,0.4981,2012-04-10,2019-12-31,3.3822,0.2654,0.3365,2015-12-24,2016-06-14,-0.0859,-0.14,1582,75,0.05,0.44,2.93,0.54,-0.2307
600362,0.5016,2012-04-09,2019-12-31,0.2349,0.0287,0.3562,2018-02-02,2019-01-28,0.0579,0.13,1876,106,0.06,0.4057,1.79,0.06,-0.0836
600383,0.4963,2012-04-09,2019-12-31,0.7581,0.0785,0.5075,2015-12-21,2018-09-10,-0.0871,-0.18,1882,87,0.05,0.4368,1.91,0.21,-0.2096
600406,0.4879,2012-04-10,2019-12-31,-0.1196,-0.0183,0.391,2015-05-21,2016-07-06,-0.0873,-0.18,1742,90,0.05,0.4222,1.42,-0.13,-0.228
600426,0.496,2012-04-10,2019-12-31,1.1571,0.1087,0.4023,2018-02-12,2018-12-27,-0.1058,-0.22,1877,90,0.05,0.5,1.59,0.38,-0.2283
600436,0.4984,2012-04-10,2019-12-31,3.5662,0.2271,0.3248,2013-03-21,2014-06-20,-0.0715,-0.14,1870,94,0.05,0.4468,3.11,0.64,-0.1858
600438,0.4862,2012-04-09,2019-12-31,3.4976,0.2436,0.3044,2015-12-03,2017-05-08,-0.0385,-0.05,1738,80,0.05,0.3875,3.72,0.42,-0.2296
600460,0.4884,2012-04-10,2019-12-31,2.1675,0.1747,0.2983,2018-01-23,2019-01-14,-0.0245,-0.04,1804,81,0.04,0.3704,3.19,0.34,-0.251
600519,0.5058,2012-04-09,2019-12-31,6.8651,0.3181,0.2923,2015-05-21,2015-09-29,-0.0033,-0.01,1882,84,0.04,0.5119,2.99,0.83,-0.0916
600547,0.5047,2012-04-25,2019-12-31,0.5354,0.0656,0.3778,2016-09-08,2018-08-02,0.0199,0.04,1700,74,0.04,0.4324,1.9,0.15,-0.1477
600570,0.4929,2012-04-09,2019-12-31,6.5885,0.3227,0.3347,2017-11-09,2018-10-25,-0.0116,-0.02,1826,88,0.05,0.5114,2.29,0.55,-0.2482
