,date,close,average,turnover_ratio,market_cap
0,2015-05-18,30.54,30.18,0.0124,20.7672
1,2015-05-19,33.59,33.59,0.0088,22.8412
2,2015-05-20,36.95,36.95,0.0071,25.126
3,2015-05-21,40.65,40.65,0.0147,27.642
4,2015-05-22,44.72,44.72,0.0106,30.4096
5,2015-05-25,49.19,49.19,0.0165,33.4492
6,2015-05-26,54.11,54.11,0.01,36.7948
7,2015-05-27,59.52,59.52,0.0341,40.4736
8,2015-05-28,65.47,65.47,0.0394,44.5196
9,2015-05-29,72.02,72.02,0.0853,48.9736
10,2015-06-01,79.22,79.22,0.0182,53.8696
11,2015-06-02,87.14,87.14,0.0594,59.2552
12,2015-06-03,95.85,95.85,0.2222,65.178
13,2015-06-04,105.44,105.44,0.3453,71.6992
14,2015-06-05,115.98,115.98,0.2232,78.8664
15,2015-06-08,127.58,127.58,0.8874,86.7544
16,2015-06-09,140.34,135.17,51.7583,95.4312
17,2015-06-10,154.37,154.37,1.8086,104.9716
18,2015-06-11,169.81,169.81,0.1553,115.4708
19,2015-06-12,186.79,186.75,25.2772,127.0172
20,2015-06-15,168.11,173.11,22.39,114.3148
21,2015-06-16,166.02,171.47,34.4346,112.8936
22,2015-06-17,176.9,173.71,25.0204,120.292
23,2015-06-18,159.21,162.55,24.2292,108.2628
24,2015-06-19,145.08,155.04,15.9347,98.6544
25,2015-06-23,159.59,157.94,20.1686,108.5212
26,2015-06-24,147.49,150.71,29.0153,100.2932
27,2015-06-25,142.0,146.53,14.8533,96.56
28,2015-06-26,127.8,132.8,10.949,86.904
29,2015-06-29,132.0,128.03,24.4533,89.76
30,2015-06-30,145.2,136.43,15.9602,98.736
31,2015-07-01,143.0,149.47,16.0737,97.24
32,2015-07-02,128.7,131.81,11.1283,87.516
33,2015-07-03,115.83,119.33,14.9241,78.7644
34,2015-07-06,104.25,115.99,16.8634,70.89
35,2015-07-07,93.83,94.25,4.4841,63.8044
36,2015-07-08,84.45,85.97,22.7504,57.426
37,2015-07-09,92.9,91.33,14.7883,63.172
38,2015-07-10,102.19,102.19,0.6056,69.4892
39,2015-07-13,112.41,112.41,0.342,76.4388
40,2015-07-14,123.65,123.38,17.9113,84.082
41,2015-07-15,111.29,113.67,15.4211,75.6772
42,2015-07-16,114.87,113.74,12.1023,78.1116
