,date,close,average,turnover_ratio,market_cap
43,2012-01-04,25.95,27.02,2.2416,46.5024
44,2012-01-05,24.7,24.33,7.143,44.2624
45,2012-01-06,25.05,24.5,3.191,44.8896
46,2012-01-09,26.2,25.79,5.0277,46.9504
47,2012-01-10,27.2,26.81,6.6321,48.7424
48,2012-01-11,27.07,27.16,5.5493,48.5094
49,2012-01-12,26.7,27.61,5.7065,47.8464
50,2012-01-13,25.22,25.6,5.3248,45.1942
51,2012-01-16,23.9,24.29,3.5089,42.8288
52,2012-01-17,25.15,24.76,3.8719,45.0688
53,2012-01-18,22.77,24.35,5.6428,40.8038
54,2012-01-19,23.4,23.19,4.6697,41.9328
55,2012-01-20,23.88,23.96,2.5138,42.793
56,2012-01-30,24.15,24.36,3.8169,43.2768
57,2012-01-31,24.0,23.9,2.8231,43.008
58,2012-02-01,23.85,24.19,3.7999,42.7392
59,2012-02-02,24.3,23.94,3.5848,43.5456
60,2012-02-03,25.25,24.58,6.1388,45.248
61,2012-02-06,26.34,26.21,12.2095,47.2013
62,2012-02-07,26.14,26.33,7.3286,46.8429
63,2012-02-08,26.45,26.18,6.4457,47.3984
64,2012-02-09,26.24,26.64,7.0169,47.0221
65,2012-02-10,26.43,26.37,4.8795,47.3626
66,2012-02-13,26.89,26.74,7.4754,48.1869
67,2012-02-14,26.36,26.43,3.845,47.2371
68,2012-02-15,26.58,26.41,4.0653,47.6314
69,2012-02-16,27.0,26.97,7.0065,48.384
70,2012-02-17,27.05,27.32,5.0257,48.4736
71,2012-02-20,26.61,27.05,6.1592,47.6851
72,2012-02-21,26.92,26.54,5.1596,48.2406
73,2012-02-22,27.85,27.57,8.8511,49.9072
74,2012-02-23,27.94,28.07,8.7619,50.0685
75,2012-02-24,28.48,28.11,6.3445,51.0362
76,2012-02-27,28.9,28.72,10.9766,51.7888
77,2012-02-28,26.65,27.03,21.4539,47.7568
78,2012-02-29,26.17,26.43,8.8644,46.8966
79,2012-03-01,26.45,26.34,4.917,47.3984
80,2012-03-02,26.63,26.53,7.9956,47.721
81,2012-03-05,26.76,26.76,9.5566,47.9539
82,2012-03-06,25.5,25.69,13.1859,45.696
83,2012-03-07,25.38,25.35,6.7414,45.481
84,2012-03-08,25.66,25.63,6.1871,45.9827
85,2012-03-09,26.25,26.04,7.6329,47.04
86,2012-03-12,26.93,26.79,10.5196,48.2586
87,2012-03-13,27.38,27.12,9.8964,49.065
88,2012-03-14,25.82,26.89,13.5296,46.2694
89,2012-03-15,25.75,25.53,7.2811,46.144
90,2012-03-16,26.85,26.33,7.8176,48.1152
91,2012-03-20,26.53,27.04,12.0577,47.5418
92,2012-03-21,26.35,26.25,6.9803,47.2192
93,2012-03-22,26.46,26.59,5.2974,47.4163
94,2012-03-23,26.58,26.84,11.4007,47.6314
95,2012-03-26,27.54,27.18,14.4555,49.3517
96,2012-03-27,26.78,27.13,10.4231,47.9898
97,2012-03-28,24.1,24.53,13.1771,43.1872
98,2012-03-29,23.0,23.3,8.2312,41.216
99,2012-03-30,22.46,22.75,4.7832,40.2483
100,2012-04-05,23.1,22.84,5.0414,41.3952
101,2012-04-06,23.13,23.01,4.5483,41.449
102,2012-04-09,23.18,23.16,4.7629,41.5386
103,2012-04-10,23.3,23.15,5.445,41.7536
104,2012-04-11,22.94,22.78,3.2435,40.7393
105,2012-04-12,23.57,23.12,4.9786,41.8683
106,2012-04-13,24.15,23.81,5.7307,42.9005
107,2012-04-16,23.44,23.63,4.6867,41.6425
108,2012-04-17,22.26,22.56,6.0842,39.5459
109,2012-04-18,22.88,22.69,4.1976,40.6426
110,2012-04-19,22.61,22.67,3.4563,40.1587
111,2012-04-20,22.92,22.85,3.1468,40.7071
112,2012-04-23,21.03,21.53,8.6721,37.3524
113,2012-04-24,20.5,20.18,7.8944,36.417
114,2012-04-25,20.7,20.59,3.8038,36.7718
115,2012-04-26,20.12,20.18,4.4306,35.7396
116,2012-04-27,20.36,20.39,2.7636,36.159
117,2012-05-02,20.25,20.29,3.3039,35.9654
118,2012-05-03,20.88,20.57,3.8553,37.0944
119,2012-05-04,21.94,21.54,6.6354,38.9652
120,2012-05-07,21.96,21.74,5.1278,38.9975
121,2012-05-08,22.01,22.07,5.0334,39.0943
122,2012-05-09,21.21,21.46,3.0641,37.675
123,2012-05-10,21.41,21.51,2.0415,38.0298
124,2012-05-11,20.65,20.95,3.5405,36.6751
125,2012-05-14,20.3,20.58,2.2696,36.0622
126,2012-05-15,20.41,20.11,1.8067,36.2557
127,2012-05-16,19.98,20.24,1.5787,35.4816
128,2012-05-17,20.47,20.35,2.0878,36.3525
129,2012-05-18,20.54,20.57,2.7959,36.4815
130,2012-05-21,20.88,20.76,2.8317,37.0944
131,2012-05-22,21.88,21.98,7.3218,38.8685
132,2012-05-23,22.43,22.2,6.4822,39.8362
133,2012-05-24,23.14,22.98,11.9884,41.0941
134,2012-05-25,23.05,22.6,8.7783,40.9329
135,2012-05-28,22.34,22.42,6.3669,39.6749
136,2012-05-29,22.45,22.31,6.1554,39.8684
137,2012-05-30,22.59,22.46,5.0501,40.1265
138,2012-05-31,22.86,22.84,5.9331,40.6103
139,2012-06-01,22.32,22.5,3.9524,39.6426
140,2012-06-04,20.59,21.2,4.7152,36.5783
141,2012-06-05,20.3,20.45,3.3122,36.0622
142,2012-06-06,20.1,20.23,3.1072,35.7074
143,2012-06-07,19.85,20.12,2.0282,35.2558
144,2012-06-08,19.52,19.8,3.2983,34.6752
145,2012-06-11,20.21,19.89,2.0919,35.9009
146,2012-06-12,20.08,20.22,2.5212,35.6751
147,2012-06-13,20.39,20.24,2.1309,36.2235
148,2012-06-14,20.21,20.3,1.8746,35.9009
149,2012-06-15,20.3,20.28,2.4521,36.0622
150,2012-06-18,20.9,20.76,3.1089,37.1267
151,2012-06-19,21.01,20.95,3.7082,37.3202
152,2012-06-20,21.47,21.35,4.5318,38.1266
153,2012-06-21,21.88,21.38,5.3356,38.8685
154,2012-06-25,22.1,21.83,6.745,39.2556
155,2012-06-26,22.03,21.79,4.3872,39.1265
156,2012-06-27,21.79,21.77,3.287,38.7072
157,2012-06-28,21.65,21.52,4.3358,38.4492
158,2012-06-29,22.74,22.35,6.1874,40.3845
159,2012-07-02,22.88,22.69,4.57,40.6426
160,2012-07-03,22.68,22.63,3.748,40.2877
161,2012-07-04,22.54,22.52,2.7139,40.0297
162,2012-07-05,22.03,21.77,3.9984,39.1265
163,2012-07-06,22.01,21.77,3.0668,39.0943
164,2012-07-09,20.36,21.28,2.4607,36.159
165,2012-07-10,20.01,19.67,6.1401,35.5461
166,2012-07-11,20.23,20.04,1.8688,35.9332
167,2012-07-12,20.5,20.17,2.5046,36.417
168,2012-07-13,20.47,20.1,3.2192,36.3525
