,date,close,average,turnover_ratio,market_cap
869,2012-01-04,194.47,197.87,0.5829,133.1214
870,2012-01-05,188.36,189.47,0.9008,128.9351
871,2012-01-06,188.36,183.39,0.7622,128.9351
872,2012-01-09,192.68,191.04,0.7207,131.8934
873,2012-01-10,191.58,191.0,1.1323,131.1399
874,2012-01-12,186.77,186.98,0.9699,127.8467
875,2012-01-13,184.28,183.76,0.3639,126.1443
876,2012-01-16,173.27,178.5,0.4342,118.6092
877,2012-01-17,175.31,168.65,1.5624,120.0046
878,2012-01-18,162.39,164.86,1.9483,111.1577
879,2012-01-19,163.08,164.25,0.6444,111.6322
880,2012-01-20,167.56,167.56,0.8571,114.702
881,2012-01-30,171.64,171.01,0.5976,117.4928
882,2012-01-31,172.01,171.44,0.1576,117.744
883,2012-02-01,174.5,174.63,0.4148,119.4464
884,2012-02-02,174.9,174.54,0.2038,119.7255
885,2012-02-03,177.8,176.68,0.4192,121.707
886,2012-02-06,181.92,179.81,0.9467,124.5257
887,2012-02-07,180.16,179.07,0.4686,123.3256
888,2012-02-08,181.92,180.21,0.2887,124.5257
889,2012-02-09,183.51,183.95,0.1416,125.6141
890,2012-02-10,178.98,180.63,0.5317,122.5163
891,2012-02-13,176.49,175.97,1.7208,120.8139
892,2012-02-14,177.96,177.29,1.1258,121.8186
893,2012-02-15,183.46,183.72,2.538,125.5862
894,2012-02-16,183.67,183.69,1.0774,125.7257
895,2012-02-17,183.1,183.04,0.6005,125.335
896,2012-02-20,187.87,187.8,1.4729,128.6002
897,2012-02-21,190.8,190.82,0.923,130.6096
898,2012-02-22,192.23,193.3,1.0141,131.5864
899,2012-02-23,192.8,193.05,0.6977,131.9771
900,2012-02-24,193.29,195.61,1.1547,132.312
901,2012-02-27,195.21,195.3,1.3141,133.6237
902,2012-02-28,191.01,192.0,0.6164,130.7492
903,2012-02-29,189.62,190.61,0.5203,129.8003
904,2012-03-01,191.62,189.76,0.3898,131.1678
905,2012-03-02,191.62,192.07,0.5532,131.1678
906,2012-03-05,193.29,192.49,0.7443,132.312
907,2012-03-06,198.06,196.58,1.2729,135.5773
908,2012-03-07,195.94,198.06,1.0822,134.126
909,2012-03-08,196.39,195.89,0.5772,134.433
910,2012-03-09,196.84,195.83,0.7555,134.74
911,2012-03-12,198.35,198.57,1.5441,135.7726
912,2012-03-13,198.75,196.21,0.9539,136.0517
913,2012-03-14,190.44,197.14,1.0433,130.3585
914,2012-03-15,192.35,189.45,0.9864,131.6701
915,2012-03-16,195.7,193.83,0.5089,133.9586
916,2012-03-19,199.77,199.62,1.4358,136.7494
917,2012-03-20,197.69,198.72,0.732,135.3261
918,2012-03-21,194.6,193.96,0.787,133.2051
919,2012-03-22,191.74,191.56,0.5125,131.2515
920,2012-03-23,190.19,191.69,0.4906,130.191
921,2012-03-26,195.0,193.37,0.3426,133.4842
922,2012-03-27,197.08,196.84,0.4896,134.9075
923,2012-03-28,192.43,192.48,0.5151,131.7259
924,2012-03-29,192.07,189.84,0.4257,131.4748
925,2012-03-30,196.02,193.68,0.3254,134.1819
926,2012-04-05,199.77,199.32,0.844,136.7494
927,2012-04-06,198.14,198.21,0.6048,135.6331
928,2012-04-09,199.85,201.44,1.1352,136.8052
929,2012-04-11,199.77,198.88,0.5111,136.7494
930,2012-04-12,205.07,202.63,0.9437,140.3774
931,2012-04-13,204.71,204.61,0.7481,140.1263
932,2012-04-16,208.99,208.26,0.7676,143.0566
933,2012-04-17,205.11,208.02,0.652,140.4053
934,2012-04-18,210.29,207.09,0.614,143.9497
935,2012-04-19,207.52,208.34,0.3531,142.0519
936,2012-04-20,207.6,207.16,0.4631,142.1077
937,2012-04-23,207.23,205.95,0.7997,141.8566
938,2012-04-24,207.68,205.34,0.4898,142.1636
939,2012-04-25,206.66,204.96,0.6198,141.4659
940,2012-04-26,204.62,205.81,0.6052,140.0705
941,2012-04-27,203.16,203.41,0.2216,139.0658
942,2012-05-02,203.56,204.14,0.5133,139.3448
943,2012-05-03,209.97,208.84,0.7411,143.7264
944,2012-05-04,214.29,214.51,1.2318,146.6847
945,2012-05-07,222.11,220.16,2.6658,152.043
946,2012-05-08,218.93,220.42,1.25,149.8662
947,2012-05-09,219.18,218.49,0.7169,150.0336
948,2012-05-10,220.57,222.88,0.8791,150.9825
949,2012-05-11,219.14,219.08,0.4773,150.0057
950,2012-05-14,216.49,215.81,0.7974,148.1917
951,2012-05-15,219.34,217.24,0.3882,150.1453
952,2012-05-16,219.34,221.58,0.6144,150.1453
953,2012-05-17,221.79,219.64,0.7676,151.8197
954,2012-05-18,222.81,224.56,1.3132,152.5174
955,2012-05-21,223.05,221.35,0.6893,152.6849
956,2012-05-22,223.22,223.12,0.6987,152.7965
957,2012-05-23,224.19,220.61,0.8935,153.4663
958,2012-05-24,230.72,228.62,0.99,157.9316
959,2012-05-25,228.72,227.91,0.563,156.5641
960,2012-05-28,228.64,226.08,1.0801,156.5083
961,2012-05-29,232.57,235.42,1.8156,158.5177
962,2012-05-30,236.33,233.17,1.0287,161.0852
963,2012-05-31,236.42,235.79,0.558,161.141
964,2012-06-01,235.84,236.04,0.3603,160.7503
965,2012-06-04,239.86,240.21,0.8286,163.4853
