,date,close,average,turnover_ratio,market_cap
0,2016-08-18,33.49,33.41,0.0296,33.49
1,2016-08-19,36.84,36.84,0.002,36.84
2,2016-08-22,40.52,40.52,0.0116,40.52
3,2016-08-23,44.57,44.57,0.0044,44.57
4,2016-08-24,49.03,49.03,0.0184,49.03
5,2016-08-25,53.93,53.93,0.0286,53.93
6,2016-08-26,59.32,59.32,0.022,59.32
7,2016-08-29,65.25,65.25,0.0561,65.25
8,2016-08-30,71.78,71.78,0.0605,71.78
9,2016-08-31,78.96,78.96,0.1123,78.96
10,2016-09-01,86.86,86.86,0.0512,86.86
11,2016-09-02,95.55,95.55,0.2772,95.55
12,2016-09-05,105.11,105.11,0.2781,105.11
13,2016-09-06,115.62,115.62,0.2184,115.62
14,2016-09-07,127.18,127.18,0.5465,127.18
15,2016-09-08,139.9,139.9,0.698,139.9
16,2016-09-09,153.89,153.89,0.7248,153.89
17,2016-09-12,169.28,169.28,19.5325,169.28
18,2016-09-13,171.34,176.98,63.8033,171.34
19,2016-09-14,177.97,181.27,41.6439,177.97
20,2017-03-13,195.77,195.77,7.2475,195.77
21,2017-03-14,215.35,215.35,0.4154,215.35
22,2017-03-15,236.89,236.84,22.0785,236.89
23,2017-03-16,245.88,242.41,35.8834,245.88
24,2017-03-17,224.76,232.42,28.9644,224.76
25,2017-03-20,215.85,218.74,15.5305,215.85
26,2017-03-21,217.07,219.37,13.1642,217.07
27,2017-03-22,228.48,224.51,18.7044,228.48
28,2017-03-23,205.76,215.21,21.5674,205.76
29,2017-03-24,206.42,207.63,10.4011,206.42
30,2017-03-27,215.45,217.82,13.2387,215.45
31,2017-03-28,225.09,224.05,15.3453,225.09
32,2017-03-29,215.2,215.58,12.0631,215.2
33,2017-03-30,223.83,221.79,12.3366,223.83
34,2017-03-31,210.1,214.82,12.2075,210.1
35,2017-04-05,206.01,203.49,9.3152,206.01
36,2017-04-06,209.6,207.78,6.4031,209.6
37,2017-04-07,215.03,215.71,9.5886,215.03
38,2017-04-10,204.06,204.71,10.3159,204.06
39,2017-04-12,183.65,188.32,13.7674,183.65
40,2017-04-13,179.49,182.3,6.1252,179.49
41,2017-04-14,177.9,178.27,3.3193,177.9
42,2017-04-17,178.53,174.46,4.984,178.53
43,2017-04-18,176.56,180.64,2.9373,176.56
44,2017-04-19,181.5,178.87,4.3444,181.5
45,2017-04-20,180.09,181.82,3.8788,180.09
46,2017-04-21,174.9,176.35,3.3033,174.9
47,2017-04-24,174.99,173.02,2.6105,174.99
48,2017-04-25,174.58,175.59,2.339,174.58
49,2017-04-26,191.99,185.15,7.6106,191.99
50,2017-04-27,194.99,191.07,5.4109,194.99
51,2017-04-28,198.06,202.36,8.0798,198.06
52,2017-05-02,198.55,199.07,3.6704,198.55
53,2017-05-03,191.38,192.59,5.1403,191.38
54,2017-05-04,189.38,189.85,2.576,189.38
55,2017-05-05,189.99,189.63,3.1917,189.99
56,2017-05-08,193.73,194.74,4.7527,193.73
57,2017-05-09,204.48,200.95,6.9957,204.48
58,2017-05-10,201.65,205.14,6.0786,201.65
59,2017-05-11,205.42,202.95,4.6383,205.42
60,2017-05-12,194.66,196.24,8.6195,194.66
61,2017-05-15,188.98,187.58,5.4065,188.98
62,2017-05-16,198.96,192.28,4.4738,198.96
63,2017-05-17,200.11,204.05,7.3019,200.11
64,2017-05-18,199.32,199.58,4.3148,199.32
65,2017-05-19,195.0,194.68,4.6553,195.0
66,2017-05-22,190.23,194.0,2.055,189.66
67,2017-05-23,176.09,181.07,6.112,175.56
68,2017-05-24,178.73,177.98,2.608,178.2
69,2017-05-25,182.18,181.43,3.1941,181.64
70,2017-05-26,177.69,179.01,2.6882,177.16
71,2017-05-31,176.07,181.84,4.9971,175.54
72,2017-06-01,175.18,179.07,3.2142,174.66
73,2017-06-02,179.06,176.86,3.2473,178.52
74,2017-06-05,181.04,183.27,3.1055,180.5
75,2017-06-06,178.27,178.03,3.0417,177.74
76,2017-06-07,183.77,182.71,4.2534,183.22
77,2017-06-08,176.99,180.15,4.5737,176.46
78,2017-06-09,178.05,177.9,1.8148,177.52
79,2017-06-12,160.24,164.87,9.3569,159.76
80,2017-06-13,160.34,157.7,6.8664,159.86
81,2017-06-14,158.92,158.81,3.7267,158.44
82,2017-06-15,165.84,163.81,4.8219,165.34
83,2017-06-16,163.87,164.86,2.4344,163.38
84,2017-06-19,166.02,166.32,1.9672,165.52
85,2017-06-20,168.1,167.31,2.9901,167.6
86,2017-06-21,166.96,166.95,1.871,168.7022
87,2017-06-22,154.98,161.64,6.5034,156.6014
88,2017-06-23,155.14,153.59,3.5124,156.7635
89,2017-06-26,159.38,157.64,4.2481,161.0404
90,2017-06-27,157.87,159.21,2.6941,159.5202
91,2017-06-28,156.13,156.15,1.6847,157.7567
92,2017-06-29,156.83,158.42,2.6663,158.4662
93,2017-06-30,156.09,156.31,2.6291,157.7162
94,2017-07-03,168.62,165.33,5.9063,170.3846
95,2017-07-04,166.72,167.89,2.7611,168.459
96,2017-07-05,167.92,167.34,2.9811,169.6751
97,2017-07-06,172.96,168.88,5.053,174.7628
98,2017-07-07,183.39,179.8,9.1035,185.3028
99,2017-07-10,174.64,178.72,4.8279,176.4654
100,2017-07-11,174.16,173.71,3.2147,175.9789
101,2017-07-12,168.97,167.72,4.1825,170.7292
102,2017-07-13,166.42,166.9,4.1234,168.1549
103,2017-07-14,162.85,164.5,3.4922,164.547
104,2017-07-17,149.99,154.38,5.9807,151.5543
105,2017-07-18,152.22,150.59,2.8934,153.8042
106,2017-07-19,147.32,144.47,6.7505,148.8585
107,2017-07-20,152.16,149.95,4.469,153.7434
108,2017-07-21,153.92,154.82,4.8976,155.5271
109,2017-07-24,147.18,147.33,4.7531,148.7166
110,2017-07-25,144.65,143.73,3.1758,146.1626
111,2017-07-26,143.87,144.15,1.7806,145.3721
112,2017-07-27,146.94,146.63,4.8886,148.4734
113,2017-07-28,142.59,143.64,4.4048,144.0749
114,2017-07-31,142.63,140.09,4.4877,144.1154
115,2017-08-01,154.48,147.89,6.4067,156.0946
116,2017-08-02,151.73,156.94,5.8637,153.3177
117,2017-08-03,158.98,157.95,5.9347,160.635
118,2017-08-10,143.09,143.09,1.1008,144.5816
119,2017-08-11,137.21,135.7,13.7313,138.6427
120,2017-08-14,140.52,134.78,5.287,141.9871
121,2017-08-15,138.45,138.85,2.077,139.8994
122,2017-08-16,139.52,140.28,2.2813,140.9737
123,2017-08-17,142.71,144.27,3.0569,144.1965
124,2017-08-18,140.7,143.97,1.2662,142.1696
125,2017-08-21,147.3,146.54,2.0799,148.8382
126,2017-08-22,150.17,150.8,1.4852,151.7367
127,2017-08-23,141.04,144.09,2.406,142.5141
128,2017-08-24,140.14,141.08,0.9633,141.602
129,2017-08-25,144.97,144.48,1.5472,146.4869
130,2017-08-28,159.48,158.68,2.2895,161.1417
131,2017-08-29,175.42,175.42,1.4712,177.2559
132,2017-08-30,183.77,181.01,6.4111,185.688
133,2017-08-31,191.77,185.5,4.1233,193.7755
134,2017-09-01,197.57,197.46,4.1726,199.6333
135,2017-09-04,197.75,197.42,2.4841,199.8157
136,2017-09-05,197.95,199.75,3.0295,200.0184
137,2017-09-06,206.58,205.28,3.6786,208.7343
138,2017-09-07,214.14,215.29,4.0502,216.3758
139,2017-09-08,218.87,216.85,2.4388,221.1594
140,2017-09-11,219.46,220.14,2.48,221.7472
141,2017-09-12,224.65,219.04,3.3226,226.997
142,2017-09-13,247.12,237.79,3.6933,249.6987
143,2017-09-14,249.57,246.85,3.5667,252.1716
144,2017-09-15,232.68,239.79,3.2084,235.1048
145,2017-09-18,255.95,247.8,3.8483,258.6173
146,2017-09-19,248.58,252.26,2.6539,251.1784
147,2017-09-20,263.53,261.3,3.4353,266.2791
148,2017-09-21,260.6,260.21,2.8476,263.3198
149,2017-09-22,265.29,261.7,2.0137,268.0628
150,2017-09-25,251.53,254.81,2.2761,254.158
151,2017-09-26,247.66,246.45,2.2418,250.246
152,2017-09-27,250.41,249.57,2.1016,253.0229
153,2017-09-28,255.1,258.48,2.2047,257.766
154,2017-09-29,261.3,260.57,1.9065,264.0292
155,2017-10-09,270.63,272.87,2.6002,273.4545
156,2017-10-10,272.64,270.04,1.592,275.4814
157,2017-10-11,258.13,262.58,2.03,260.8266
158,2017-10-12,258.97,257.65,1.3482,261.6779
159,2017-10-13,263.15,260.48,1.257,265.894
160,2017-10-16,258.99,261.67,1.4108,261.6982
161,2017-10-17,254.58,255.82,1.2146,257.2389
162,2017-10-18,253.64,256.73,1.206,256.2863
163,2017-10-19,232.25,241.25,2.8243,234.6791
164,2017-10-20,238.29,238.01,1.7461,240.7802
165,2017-10-23,249.89,248.15,1.7936,252.4959
166,2017-10-24,247.96,245.66,1.3643,250.55
167,2017-10-25,249.57,249.06,1.3795,252.1716
168,2017-10-26,269.51,264.73,2.4088,272.3194
169,2017-10-27,271.07,269.02,1.8428,273.9004
170,2017-10-30,298.17,298.17,0.8518,301.2844
171,2017-10-31,327.22,320.3,5.2025,330.6344
172,2018-03-02,304.27,319.96,9.889,307.4246
