策略,回测起始日期,回测截止日期,总收益率,年化收益率,最大回撤率,最大回撤开始日期,最大回撤结束日期,总天数,交易天数,交易频率,胜率,盈亏比,夏普比率
BackTrend,2012-04-09,2023-03-28,6.3831,0.2077,0.1667,2015-06-18,2015-11-30,2669,1596,0.6,0.4543,2.41,1.06
DoubleMA,2012-04-09,2023-03-28,4.3859,0.1723,0.2058,2015-06-30,2015-11-03,2669,1256,0.47,0.4212,2.54,1.11
LLT,2012-04-09,2023-03-28,5.0691,0.1856,0.2673,2015-06-29,2016-06-24,2669,1688,0.63,0.3643,3.03,1.21
Reverse,2012-04-09,2023-03-28,1.1315,0.0741,0.1124,2012-10-10,2014-06-04,2669,1201,0.45,0.6153,1.09,1.09
RUMI,2012-04-09,2023-03-28,5.1108,0.1864,0.1898,2017-12-14,2019-03-21,2669,990,0.37,0.4556,2.5,1.1
VNSP,2012-04-09,2023-03-28,2.8269,0.1351,0.1769,2015-06-15,2016-06-23,2669,1694,0.63,0.4935,1.63,1.16
