date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,isST
2020-01-02,sh.601698,11.4,11.62,11.38,11.55,24841306,285810363.0,6.2103,1,2.0318,0
2020-01-03,sh.601698,11.59,11.77,11.5,11.69,27906089,325474215.0,6.9765,1,1.2121,0
2020-01-06,sh.601698,12.0,12.48,11.69,11.77,42683540,513234976.0,10.6709,1,0.6844,0
2020-01-07,sh.601698,11.76,11.85,11.56,11.69,26377845,307577307.0,6.5945,1,-0.6797,0
2020-01-08,sh.601698,11.76,12.21,11.72,12.2,55862107,671615031.0,13.9655,1,4.3627,0
2020-01-09,sh.601698,11.9,12.13,11.8,12.0,32577733,389030144.0,8.1444,1,-1.6393,0
2020-01-10,sh.601698,11.95,12.04,11.7,11.71,24142624,284518283.0,6.0357,1,-2.4167,0
2020-01-13,sh.601698,11.72,11.83,11.42,11.66,19461350,225002291.0,4.8653,1,-0.427,0
2020-01-14,sh.601698,11.68,11.83,11.6,11.65,17579493,205626506.0,4.3949,1,-0.0858,0
2020-01-15,sh.601698,11.59,11.7,11.41,11.49,16238519,186655029.0,4.0596,1,-1.3734,0
2020-01-16,sh.601698,11.46,11.77,11.46,11.63,20430036,238459457.0,5.1075,1,1.2185,0
2020-01-17,sh.601698,11.6,11.69,11.4,11.47,15784463,181569761.0,3.9461,1,-1.3758,0
2020-01-20,sh.601698,11.51,12.62,11.51,12.62,92274800,1141324992.0,23.0687,1,10.0262,0
2020-01-21,sh.601698,12.59,12.83,12.15,12.62,63367993,789056325.0,15.842,1,0.0,0
2020-01-22,sh.601698,12.64,13.64,12.44,13.3,64125211,841601535.0,16.0313,1,5.3883,0
2020-01-23,sh.601698,13.01,14.6,12.98,13.7,85756389,1199880837.0,21.4391,1,3.0075,0
2020-02-03,sh.601698,12.33,12.33,12.33,12.33,5914000,72919620.0,1.4785,1,-10.0,0
2020-02-04,sh.601698,11.31,13.37,11.31,12.97,67881520,868035639.0,16.9704,1,5.1906,0
2020-02-05,sh.601698,12.9,14.27,12.73,14.27,77407677,1068542356.0,19.3519,1,10.0231,0
2020-02-06,sh.601698,14.99,15.7,14.51,15.7,69964152,1068622881.0,17.491,1,10.021,0
2020-02-07,sh.601698,17.23,17.27,16.58,17.27,109679638,1881641753.0,27.4199,1,10.0,0
2020-02-10,sh.601698,19.0,19.0,16.41,18.39,177681794,3219018035.0,44.4204,1,6.4852,0
