,BackTrend,DoubleMA,LLT,Reverse,RUMI,VNSP
2012-04-09,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-10,0.0,0.0,3.828166826933441e-05,0.0,0.0,0.0
2012-04-11,-5.288493272843363e-05,0.0,0.0,0.0,8.557559694851126e-05,0.0
2012-04-12,0.0028557686661463254,0.0,0.0,0.0,0.0,0.0
2012-04-13,0.0,0.0,0.0,2.252960039651156e-05,0.0,0.0
2012-04-16,3.761773754376055e-05,0.0,-0.0052067067664113165,-1.4997596737469646e-05,0.0,0.0
2012-04-17,0.0007522341290344436,0.0,-0.0009063333951946575,0.0,0.0,0.00020514887283075949
2012-04-18,0.0013547789851263516,0.0,0.0,0.0,0.0,0.0
2012-04-19,0.0,0.0,0.0,0.0,0.0,-0.001810558688405771
2012-04-20,2.571325230084779e-05,0.0,-0.0020605503447076678,0.008448789712955158,0.0,0.00044825285778113123
2012-04-23,0.0,-0.00016633819386071262,0.0,-0.0006490049736173893,0.0,0.004828302630715192
2012-04-24,0.0,0.0,-0.0004805327194394115,0.0,0.0,-0.002128104453507367
2012-04-25,0.0017319030369330292,-0.0025220431394322967,-0.00022179351016194608,0.00122860245944507,0.0,-0.0014034768832610735
2012-04-26,0.0,-0.00010922452586206202,0.0,-7.992127410886665e-05,0.0,0.00018010561790522892
2012-04-27,0.0,0.0,0.0009817348853555104,0.0,0.0,0.0025717869507286702
2012-05-02,-0.005207526968192653,1.0015802811008663e-05,0.0001167216672086037,0.009966077596788936,0.0,0.00214392354604326
2012-05-03,0.0,0.0,0.0,0.00040770169449780644,0.0,0.01844214770556169
2012-05-04,0.0007875258654746649,0.0,0.0,0.002569888706819618,-0.00440368884745842,0.0007438255481974165
2012-05-07,0.0,-0.0002736019186552967,0.0,-4.835346198028545e-05,0.0,-1.9376142006431552e-05
2012-05-08,0.0,-3.107581887506252e-05,-0.0003187646715954399,0.00017906424538243184,0.0,0.0
2012-05-09,-0.00018417154613640293,0.0,-0.002999356237693407,0.0,0.0,0.00017687897064207306
2012-05-10,-3.2881518679780684e-05,0.0,0.009251116759312665,0.0,0.0,0.012467103312253681
2012-05-11,0.0,-0.003081267626101582,-0.0022571736369953943,0.0,0.0,0.0024807648345706993
2012-05-14,0.0,-0.00358637759373686,-0.00016590144462148078,0.0,-3.3014941637539257e-05,0.0005976364722278777
2012-05-15,-0.009247549560098815,-3.954982877877824e-05,0.0015478262736428959,0.0020927732714778975,0.0,0.0
2012-05-16,-4.830196801047687e-05,-0.003514381522277251,0.001689617283027567,0.0,0.0,-0.00014395872880708748
2012-05-17,-0.009951023831623626,-0.005861497904505156,0.0008065094408214352,0.0,-8.203132390673452e-05,-0.00028515314005396865
2012-05-18,0.0,-0.00011145181400197848,0.0,-0.0007123221818572319,-0.013645598751631582,0.0011308996964253931
2012-05-21,-0.007734399613599367,0.0,-0.008876904667838418,0.0,-0.0003550840812411375,0.0
2012-05-22,0.00266355552385945,-0.002053480800296118,0.0,0.0002597304091830144,0.0,0.0
2012-05-23,0.0,0.010516342730659736,-5.6949421044741335e-05,0.0,-0.010565013803999984,0.0
2012-05-24,-1.950850315975847e-05,0.0,-9.864441754586671e-05,0.0,-0.0176091596929601,0.0
2012-05-25,-0.008673853385249092,-0.0022108832305082478,-0.0007620623192999625,0.0,-0.00021232861645469972,0.0
2012-05-28,-2.560280765388625e-05,0.0,0.0,0.0,-0.0023908550795767643,-0.0020912997251210123
2012-05-29,0.00011494036448410229,0.0,-0.0005764381240408682,0.0,-0.00037271429806855514,-0.0007667313735085914
2012-05-30,0.0,0.0022920837396099474,-0.0015751001777993656,0.0,0.0,0.0
2012-05-31,1.4999992693359005e-06,0.0033424344505310977,0.0,0.00010754854928619795,0.009565014930387325,0.0
2012-06-01,0.0018860071260307085,0.0,0.0,0.0,0.0,-0.0004854194504635246
2012-06-04,5.332234984062154e-06,0.0,-0.0023549772832417055,0.0032308669260791897,0.0018290447560546947,-0.0032038938487550864
2012-06-05,-0.002595990801872454,0.0,-0.004800894467611406,0.0,0.0,-0.00019683775427330316
2012-06-06,0.0,0.0010842069868164312,0.0,0.0,0.0,-0.004160082452046814
2012-06-07,0.0,-0.00023348044038161084,-0.00011987610453722107,0.0,0.0,0.0003557010138482516
2012-06-08,-8.481740864287342e-05,-0.00042346319475389645,0.0,0.0,0.0,0.0
2012-06-11,0.0,0.0003228764483762323,0.0,0.00037345865674584804,-0.0003065491727696751,-0.00029663323242489447
2012-06-12,0.0,0.0,0.0,0.0,0.0,-0.001170525239031025
2012-06-13,0.0032237085989543315,-0.00011098025127876796,0.0,0.0,2.15710471953103e-05,0.0031185304127650864
2012-06-14,0.0,0.0,0.0,0.0005141955409923577,0.0,0.0008077524470632105
2012-06-15,-4.2104988565553455e-05,0.0,-0.0026279071148360015,0.00016548205717366402,0.0,0.00016723263612290447
2012-06-18,0.0011709380185563859,0.0,0.0,0.0,0.0,0.00034735294253735187
2012-06-19,0.0,0.0,0.0,0.0,0.0,-0.003685675324199677
2012-06-20,-0.001560965843141094,0.0,-0.00434738738310489,0.0,0.0,0.0
2012-06-21,-0.00013757657112185864,-0.007654542167138884,-0.004942502591271493,-4.714843441511427e-05,0.0,0.002701779072849465
2012-06-25,-0.011196816012540651,0.0,-0.00037814945214622225,0.0,-9.758196701884034e-05,-0.016869423204940986
2012-06-26,-5.854564859864509e-05,-0.0028299147855362,0.0,0.0,-0.00044355001255385457,0.0023200382388662726
2012-06-27,0.000664075358141132,-0.004177785675946984,0.0,-9.942768758176008e-05,0.0,0.0
2012-06-28,-0.001097025675506959,-0.004172827532212644,0.0,0.0,0.0,0.0
2012-06-29,5.300586077067367e-05,0.0,0.0,0.0,0.00042377115128931835,0.0007992428573229743
2012-07-02,0.0,0.0,0.0,0.0,0.0,0.0033801492889105602
2012-07-03,0.002621913604645271,0.0,0.013098251069873931,-7.801945929544273e-05,0.0003714356740785291,-0.0014555209802388544
2012-07-04,0.0,0.0,0.0,0.0036006815953018604,0.0,0.0
2012-07-05,0.0,0.0,-0.00022570799390107154,0.0,-0.005007455269548475,-0.005619239596026287
2012-07-06,-0.0007772437022929426,0.0,-0.0001775606013504534,0.0,0.0,0.0
2012-07-09,0.0,0.0,-0.002796588391740736,0.015742080921441574,0.0,0.00019982074914687284
2012-07-10,-0.0011654121452553253,0.0,-0.001799018590026028,0.0,0.0,-0.002163024136846923
2012-07-11,0.0,-0.0012680885237010499,0.0,0.0,0.0,-0.008135658259435677
2012-07-12,0.0,-0.00241780607369806,0.0,0.0,0.0,0.0
2012-07-13,0.0,6.434623807533922e-05,-0.0008791743780138046,-0.00028055571218701676,0.0,0.0
2012-07-16,-0.00012457468422235463,-0.002044107379217129,-0.000473937231135972,0.0038840080208451715,0.0,-0.0018343855096735779
2012-07-17,0.0010867770051992901,0.0,0.000279281059307344,0.0,0.0,-0.00182212846309086
2012-07-18,0.0,0.0,0.0,0.002453474491157912,-0.0005406540727622355,0.0
2012-07-19,-0.003514523039687791,0.0,0.0,0.0,0.0,0.015629778089689565
2012-07-20,0.0,-0.003054708515884327,-0.0018468935327165348,0.0009034200515627965,-6.32228578472949e-05,0.0
2012-07-23,0.0,-0.0002549484724466473,0.011170595171890216,0.00021682102574649518,9.205178196763689e-05,0.00027104271457039074
2012-07-24,0.0,0.0,-6.622322900513882e-05,0.0017141205683013933,0.0,0.0019596681091906608
2012-07-25,-0.0008372499236617338,0.0,0.013697521829705631,0.0,0.0,-0.0048125982977268705
2012-07-26,0.0,-0.004058795430299439,0.003760649843335743,0.0,-0.005490188769120029,-0.00037864996925016705
2012-07-27,-0.003466414357192466,-7.8728970121529e-05,-0.0007020420099183865,0.0,0.0,-0.002944655554184354
2012-07-30,-0.00024773596124003,0.014436953363657598,-0.00026928274186408256,0.0,0.0,0.0
2012-07-31,-0.006165710993911513,0.0068293339809341455,-0.004822260590523005,0.0,0.0,-0.0003761507424791025
2012-08-01,-0.00016862197713529212,-0.013342941399986935,0.0,0.0,0.0,-8.025848381730881e-05
2012-08-02,0.0,0.018687421463979448,0.0,0.0,0.0,0.0
2012-08-03,0.0,-0.002138064349388961,0.0,0.004694520993678233,0.015162485709953216,0.0
2012-08-06,0.0,0.0,0.0,0.0006164714486532307,0.0,0.0
2012-08-07,-0.0008504314915757046,0.0,-0.0032715102189205167,0.004568332053018375,-0.005336495832872569,0.0
2012-08-08,0.0,0.0,0.0,-0.00018699152115871044,0.0005004091928322277,-9.351765196929521e-05
2012-08-09,0.046978861263821683,0.0,0.0,0.0,0.0,-0.006667453105040414
2012-08-10,0.0009875432346567667,-0.0010272020412443522,-0.0023206861157073835,-8.276405940516894e-05,0.0,-0.012983210151982701
2012-08-13,0.0,0.0,-0.0007825257874805057,0.0,0.0,0.0
2012-08-14,-0.00019959647847563093,-2.585930343336124e-05,-0.0013446668755477949,0.0,0.028975064910618183,0.0025980476660250862
2012-08-15,-7.473774864942217e-05,0.0,6.105890403782595e-05,0.0,0.0,-0.001793041330192273
2012-08-16,-0.0003031441778138822,0.0,-0.003404926642196651,0.0,0.0,-0.00038323093285974315
2012-08-17,-2.3888879316189004e-05,-0.004735576395714355,-0.0007707209016307122,0.0,0.0,0.0
2012-08-20,0.0011240406861652238,-0.008065498344587406,0.0,0.0,0.0,1.8121032312360386e-05
2012-08-21,0.0,0.0,0.0,0.0,0.0,0.00179157258037001
2012-08-22,8.591112783118272e-05,-0.0030636875932223517,0.0007249042224199487,0.0,0.0,0.0
2012-08-23,0.0,0.0,0.0,0.0,-0.003086716026585282,0.0
2012-08-24,-0.003101168978871313,0.0,-0.0016238444319257017,0.0,0.00019777369876332958,0.0
2012-08-27,0.0,-0.0027454319994937772,-0.0021437525538430956,0.0,-0.0059904797036975065,-0.00032902433185808433
2012-08-28,-0.0025605892346425834,0.0,0.0003388381696139708,0.0,0.0,-0.003453734762092505
2012-08-29,0.0,-0.0002896820022488799,0.0008253844767782283,0.0,0.0,0.001189348982024502
2012-08-30,-6.666425152585234e-05,-0.004144779290366026,0.0003637871668110516,0.0,-0.0038642315813239214,-0.007091213020944949
2012-08-31,-0.0005278610399107264,0.0003552152391790708,-0.0003207741320507996,0.0,0.0,-0.0011565203403993637
2012-09-03,-0.0028195250517611616,0.0001582945815000375,0.0007882063365606211,0.0,-0.00045127205092662556,0.0
2012-09-04,0.0,3.976542342701527e-06,0.0,0.0009014418929726703,0.0,-6.179951679835457e-05
2012-09-05,-0.00014038442590595836,0.00027124000027493346,0.0,0.0016427794092571239,-0.002016117592470409,0.0
2012-09-06,6.939104001874091e-05,0.0,0.0,0.0005631942611846625,-0.0006219137233017002,0.0001372630610076798
2012-09-07,0.0,0.0,0.0,0.0,0.0,0.00018836278308889212
2012-09-10,0.00010225529327181967,0.0,0.0,-0.00017705211830569103,7.386935007572302e-05,0.0
2012-09-11,0.0,0.0,-0.002362038435314769,0.0,0.0,0.0
2012-09-12,-0.00012000097084888683,0.0,-0.0031463916141780345,0.0,0.0009738652897185348,0.0001918620007834964
2012-09-13,0.0,0.0,-0.0003065857961744468,0.0,0.0,0.004065243177964125
2012-09-14,-0.00016133753637884098,0.0019067267313097828,0.0004887634852914747,0.0,0.0,-0.002746254574534203
2012-09-17,-0.0002556240842398397,-0.0075673781071446625,-0.0018562082184764,-0.012076761139818174,0.0,-0.002409215568933358
2012-09-18,-0.008128144153582094,0.0,-0.011751854951904537,0.0,-0.0003897908126978612,0.0
2012-09-19,-0.003784535103985944,-0.00013578077906384434,0.00454402625348519,-0.0002551537396796197,0.0,-0.00013914527912240653
2012-09-20,-0.000982567678123249,-0.022742106913854174,0.00016542686162882226,-0.0002292912783117172,0.0,-0.003534683543515602
2012-09-21,-2.331345726889103e-06,-0.0005687669745024474,0.0,0.0,0.0,0.004387032582873191
2012-09-24,-0.0005303519532560821,-0.002008001495677583,0.0,0.0,-0.00017800396951590634,-0.0024084806121276777
2012-09-25,-0.0011506423984454703,-0.0007157229273540765,0.0,-0.0002757296101001676,0.0016040372349614962,0.0
2012-09-26,-0.0002001595686873091,-0.0012265660521723054,-0.001928604126813429,0.0,-0.0008203018215778869,0.0
2012-09-27,0.00015714742285508765,0.0,0.0,7.047166730592456e-05,0.0,-0.00011556562396810526
2012-09-28,0.0,0.0,0.0,0.008331044572506474,-0.003703629975297908,0.0
2012-10-08,0.0,0.0,0.0,0.0032091351509542974,-8.66792386556498e-05,0.0
2012-10-09,-0.0013119897080866628,-0.0028400150351543096,0.0,0.006989900130294268,0.0002577510380262014,0.0
2012-10-10,0.0,0.0,0.0,0.00490651546336334,0.0021413443430698276,0.0
2012-10-11,-0.003965865500966658,0.0,-0.005806271976530151,0.0,0.0,0.0
2012-10-12,-0.0009865200582336688,0.0,-0.0004726870949502619,0.0,0.0,0.00014436411825988416
2012-10-15,0.0012113490388459902,0.0,-0.0008331414363018375,0.0,0.0,0.0035258530033846
2012-10-16,0.0007599709508736333,0.0,-0.0013601599464472364,-0.003693342834705835,0.0,-0.0017076267323022822
2012-10-17,0.0,-0.0009593696096675831,0.0,0.0,0.00019012374488041177,0.009637300175708626
2012-10-18,0.0,0.0,0.0,2.9308346785736467e-05,0.0,0.0
2012-10-19,0.0,0.0,-3.020579120633583e-05,7.16673294171112e-05,0.0,0.004293761771402146
2012-10-22,0.0,-0.0008556642408292021,0.0003005521078550287,-0.00012438408718991515,0.0,-0.0006656819789550707
2012-10-23,0.0,0.0,-0.0005520341578397657,-0.0005483075361679182,0.0,0.0
2012-10-24,0.0,0.0,0.013582920314571706,0.0,0.0,0.009309673317007307
2012-10-25,-1.1003436236509489e-05,0.0,-0.0004537591297861798,0.0,0.0016794868349745066,-0.001786699926432106
2012-10-26,-0.00065939081342764,-0.0012957020763486955,-0.002440029722900925,-0.002177852311122647,0.0,-0.0015433331074560727
2012-10-29,0.0003038860816891286,0.002965123766717975,-0.0023495282393886613,0.0,0.0,-0.0002710169224056881
2012-10-30,-5.8579445391747866e-05,-0.01405536840777507,-0.001359304551756272,-0.020761003449072505,0.0,0.001264909048227837
2012-10-31,0.0,-0.006108054749086021,0.0,-0.0015868095862066399,0.0,-0.0015646509550058954
2012-11-01,-0.002046148735840927,-0.0007558516212136933,0.0,-0.0006128325359208675,0.0,-0.002380286626866762
2012-11-02,0.005212609869347259,0.0,0.0,-0.002108820699348944,0.0,-6.410434743877138e-05
2012-11-05,-0.00021740633802188483,0.0,-0.004562544560844043,4.9488409903333665e-05,0.011879625152936,0.0
2012-11-06,-0.00016207583879725284,0.0,0.0072026853830551045,0.0,-0.0013493878758376074,-0.0016562379549343873
2012-11-07,-0.00990535498277731,0.0,-0.0036564139677019145,0.0023584084256596796,0.0007700210209629893,4.879881458428984e-05
2012-11-08,-0.0011455518291586906,0.0,-0.00382080410643985,-0.00024665917647848383,-0.01142879565089693,-0.005553006552770665
2012-11-09,-3.9246035708599736e-05,-0.0007938229936883787,-0.00030862481840726976,0.0,-0.0008825407499616391,-0.0009669511265187107
2012-11-12,0.0,0.0012616360527523966,0.0,0.0,-6.064828734216416e-05,0.0016173505099166953
2012-11-13,0.0038483439780522344,-0.0049564008285712296,0.0,-0.009084968401379671,0.0,0.0017378941765564013
2012-11-14,-0.0006148624664249259,-0.0018814711933373331,-0.0008307617930095151,0.0,0.0,0.0
2012-11-15,-0.0005759515319754211,0.0,0.00015381948441429202,-0.006758728964994929,0.0,-0.0014090633639348286
2012-11-16,-0.002712216294312769,0.0,0.00035277645135151813,0.0,-0.003680417432823066,-0.00054047391331568
2012-11-19,0.00022517798999812874,-0.0004787394490576866,0.0,0.0,0.0,-0.00017561265125517412
2012-11-20,-0.0034917585736519404,-0.005636614422666513,0.0036310779567533735,0.0,-0.002815420108964406,0.0
2012-11-21,0.0,0.0,-5.527101597763461e-05,0.0,0.0,0.0
2012-11-22,0.0,0.0,0.0,0.0012133449243148405,0.0,0.0
2012-11-23,0.00012040925107291778,0.0,6.949954110608143e-05,0.0,0.0,0.0
2012-11-26,0.0,-0.00012192366511952477,0.0,-0.0002953107949859616,-0.0012590608156880462,0.0
2012-11-27,-0.00040609438169583403,0.0,-0.002533868300952917,-0.002313029397702238,-0.0008831310175798418,0.0
2012-11-28,-0.0010868142155063582,0.0,-0.0034946700954238447,0.0,-0.0008109450174549195,-0.008917289768620516
2012-11-29,-0.0009590331193035438,-0.002147096449556929,5.9358104692947525e-05,0.0008533194213981878,0.0,-0.017729022196102534
2012-11-30,0.0,0.0,0.0,0.0,0.0,-0.004135318194633188
2012-12-03,0.0,0.0004824853587320217,-0.0007100378687090891,-0.034706701375903176,0.0,-0.0015912410043918022
2012-12-04,0.0,0.0,0.0,0.0,0.0,-0.003357506378492975
2012-12-05,0.005761817185819939,0.0,0.0,0.005823898556040998,-0.00019970441600076103,0.0
2012-12-06,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-07,0.0,0.0,0.0,-0.000439583048049363,0.0,0.0
2012-12-10,0.0,0.0,0.0,-0.013253541552249577,0.0,0.0
2012-12-11,0.0017204154981221133,0.0,0.0,-0.000512027776552111,0.0,0.0023335653863323417
2012-12-12,0.0,0.0,-7.789757814324788e-05,0.0,0.0,0.0
2012-12-13,-0.0018414667300594863,0.0,-0.0029908377181531763,-0.0006650746117714317,0.0,-0.002091558215329856
2012-12-14,0.0,0.0,0.0,0.0017344997969608142,0.0,0.008809622806342655
2012-12-17,0.0,0.0,0.0,7.72785594034545e-05,0.0,0.013376978547728525
2012-12-18,0.0,0.0,0.0030656021506059446,0.0050117782209330225,0.0,0.0
2012-12-19,0.0,0.0,-0.00013143649170648756,0.0019913855650117254,0.0,0.0
2012-12-20,0.0,0.0,0.0,0.0,0.0,-0.0010860624665733573
2012-12-21,0.0,0.0,-2.2007033061340308e-05,9.847103153033405e-05,0.0,0.00195758309544339
2012-12-24,-0.0031947540329497134,0.0026936956026117126,8.92756308294851e-05,0.0019947384907341636,0.0,-0.0015649183127698705
2012-12-25,-0.0009804170791052817,0.0,0.0,0.0,0.0,0.0017768227797017235
2012-12-26,0.0,0.0,0.0,0.0004358774693312609,0.0,0.012344885402356662
2012-12-27,0.0,0.0,0.0,0.00019328835655304033,0.0,0.0
