date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,isST
2009-01-05,sz.002155,8.06,8.25,8.0,8.18,3583359,29139380.95,1.170339,1,3.5443,0
2009-01-06,sz.002155,8.1,8.53,7.98,8.51,8103354,66820960.41,2.646588,1,4.0342,0
2009-01-07,sz.002155,8.6,8.69,8.42,8.45,7236319,61986348.15,2.363411,1,-0.7051,0
2009-01-08,sz.002155,8.28,8.28,8.08,8.13,3605719,29471844.73,1.177642,1,-3.787,0
2009-01-09,sz.002155,8.11,8.51,8.11,8.43,4697015,39359207.46,1.534064,1,3.69,0
2009-01-12,sz.002155,8.47,9.08,8.46,8.78,13219961,117221628.13,4.317692,1,4.1518,0
2009-01-13,sz.002155,8.45,8.58,8.21,8.25,7568874,63572727.67,2.472024,1,-6.0364,0
2009-01-14,sz.002155,8.23,8.64,8.18,8.6,5448009,46176414.09,1.779341,1,4.2424,0
2009-01-15,sz.002155,8.49,8.89,8.35,8.7,8019018,69656860.84,2.619043,1,1.1628,0
2009-01-16,sz.002155,8.72,9.12,8.72,9.03,9531995,85148942.5,3.113188,1,3.7931,0
2009-01-19,sz.002155,9.1,9.29,8.78,8.9,7054711,63406705.93,2.304097,1,-1.4396,0
2009-01-20,sz.002155,8.9,8.99,8.72,8.98,4087993,36222237.04,1.335155,1,0.8989,0
2009-01-21,sz.002155,8.81,9.07,8.74,8.87,4048895,36068755.58,1.322385,1,-1.2249,0
2009-01-22,sz.002155,8.9,9.1,8.8,9.09,6989100,62757304.23,2.282668,1,2.4803,0
2009-01-23,sz.002155,9.08,9.08,8.84,8.87,4525228,40376525.37,1.477957,1,-2.420245,0
2009-02-02,sz.002155,9.15,9.64,9.08,9.57,14333089,134446601.55,4.681244,1,7.8918,0
2009-02-03,sz.002155,9.39,9.79,9.3,9.66,12541178,120469097.65,4.095999,1,0.9404,0
2009-02-04,sz.002155,9.68,10.28,9.6,10.25,13221142,130180365.99,4.318078,1,6.1077,0
2009-02-05,sz.002155,10.18,10.38,9.73,9.88,14474268,146951814.06,4.727354,1,-3.6098,0
2009-02-06,sz.002155,9.95,10.8,9.95,10.69,13846702,145583493.27,4.522388,1,8.1984,0
2009-02-09,sz.002155,11.0,11.64,11.0,11.58,18915740,215184310.59,6.177956,1,8.3255,0
2009-02-10,sz.002155,11.58,12.19,11.19,12.1,17171933,203074509.08,5.608422,1,4.4905,0
2009-02-11,sz.002155,11.99,13.25,11.76,12.8,21668674,275565511.23,7.077075,1,5.7851,0
2009-02-12,sz.002155,13.15,13.48,12.2,12.84,18805181,239324257.93,6.141847,1,0.3125,0
2009-02-13,sz.002155,12.89,13.09,12.65,13.09,13220779,170503635.63,4.317959,1,1.947,0
2009-02-16,sz.002155,13.15,13.2,12.53,12.94,11792187,150872933.03,3.851375,1,-1.1459,0
