date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,isST
2007-01-04,sh.600868,2.3,2.3,2.2,2.21,104345759,233787025.0,6.517364,1,-4.741375,0
2007-01-05,sh.600868,2.2,2.28,2.15,2.27,66224786,146634683.0,4.136354,1,2.71493,0
2007-01-08,sh.600868,2.27,2.4,2.25,2.39,103588487,241171797.0,6.470065,1,5.286349,0
2007-01-09,sh.600868,2.39,2.45,2.36,2.39,96583245,232776977.0,6.032523,1,0.0,0
2007-01-10,sh.600868,2.38,2.45,2.32,2.44,80348174,191438227.0,5.018491,1,2.092048,0
2007-01-11,sh.600868,2.44,2.68,2.42,2.68,120991713,312802284.0,7.557059,1,9.836065,0
2007-01-12,sh.600868,2.68,2.71,2.41,2.43,126074946,323247883.0,7.874554,1,-9.328358,0
2007-01-15,sh.600868,2.4,2.55,2.35,2.52,66858803,164859571.0,4.175955,1,3.7037,0
2007-01-16,sh.600868,2.52,2.64,2.46,2.58,76312872,194918032.0,4.766449,1,2.38095,0
2007-01-17,sh.600868,2.58,2.67,2.5,2.56,85141057,220788616.0,5.317851,1,-0.775193,0
2007-01-18,sh.600868,2.55,2.75,2.51,2.74,147200978,389976983.0,9.194071,1,7.031253,0
2007-01-19,sh.600868,2.76,3.01,2.73,2.96,226230913,642615728.0,14.130226,1,8.029198,0
2007-01-22,sh.600868,2.96,2.96,2.96,2.96,0,0.0,,0,0.0,0
2007-01-23,sh.600868,3.18,3.2,2.98,3.11,156342065,480092687.0,9.765017,1,5.067563,0
2007-01-24,sh.600868,3.06,3.14,3.04,3.07,72419992,223154894.0,4.523303,1,-1.286173,0
2007-01-25,sh.600868,3.06,3.07,2.85,2.87,82376980,242186114.0,5.145209,1,-6.514659,0
2007-01-26,sh.600868,2.8,2.92,2.62,2.92,91787449,256703482.0,5.732981,1,1.742167,0
2007-01-29,sh.600868,3.07,3.14,2.98,3.11,115911103,354881781.0,7.239727,1,6.506843,0
2007-01-30,sh.600868,3.12,3.14,3.01,3.03,62386185,190690337.0,3.896598,1,-2.572345,0
2007-01-31,sh.600868,3.02,3.1,2.85,2.89,63133285,188613223.0,3.943261,1,-4.620458,0
2007-02-01,sh.600868,2.87,3.0,2.75,2.98,68886965,198768404.0,4.302632,1,3.114184,0
2007-02-02,sh.600868,2.97,3.06,2.91,3.04,98826220,297139229.0,6.172617,1,2.013421,0
2007-02-05,sh.600868,3.06,3.11,3.03,3.09,117994247,361494062.0,7.369839,1,1.644735,0
2007-02-06,sh.600868,3.1,3.12,3.02,3.08,46861834,143353940.0,2.926958,1,-0.323624,0
2007-02-07,sh.600868,3.1,3.18,3.05,3.13,81484423,253214054.0,5.089461,1,1.623383,0
2007-02-08,sh.600868,3.14,3.14,3.06,3.08,46571364,143830323.0,2.908815,1,-1.59745,0
2007-02-09,sh.600868,3.09,3.09,3.02,3.05,47782960,145527944.0,2.984491,1,-0.974025,0
2007-02-12,sh.600868,3.05,3.07,3.03,3.06,39335813,120090570.0,2.456888,1,0.327869,0
2007-02-13,sh.600868,3.06,3.07,3.02,3.05,42131246,127987968.0,2.631488,1,-0.326797,0
2007-02-14,sh.600868,3.05,3.18,3.04,3.16,94063152,293848445.0,5.875119,1,3.606562,0
2007-02-15,sh.600868,3.21,3.48,3.21,3.48,169563881,575128991.0,10.590843,1,10.12658,0
2007-02-16,sh.600868,3.6,3.62,3.47,3.49,145321309,516048368.0,9.076668,1,0.287356,0
2007-02-26,sh.600868,3.5,3.77,3.47,3.75,86360941,314580937.0,5.394045,1,7.449856,0
2007-02-27,sh.600868,3.76,4.0,3.4,3.42,165364261,622993724.0,10.328537,1,-8.799997,0
2007-02-28,sh.600868,3.4,3.76,3.37,3.76,116646397,423157204.0,7.285653,1,9.941518,0
2007-03-01,sh.600868,3.82,3.93,3.65,3.86,134525241,510075531.0,8.402353,1,2.659572,0
2007-03-02,sh.600868,3.86,3.91,3.77,3.82,69597137,266643002.0,4.346989,1,-1.036268,0
2007-03-05,sh.600868,3.82,3.88,3.6,3.84,85818168,322581011.0,5.360143,1,0.52356,0
2007-03-06,sh.600868,3.85,3.85,3.7,3.79,69096880,260991634.0,4.315743,1,-1.302082,0
2007-03-07,sh.600868,3.79,3.87,3.75,3.83,57572043,219755208.0,3.59591,1,1.055408,0
2007-03-08,sh.600868,3.85,3.98,3.77,3.95,85646199,331158286.0,5.349402,1,3.133162,0
2007-03-09,sh.600868,3.91,3.95,3.82,3.87,68994346,268109744.0,4.309339,1,-2.025321,0
2007-03-12,sh.600868,3.87,3.94,3.8,3.91,58813342,227515753.0,3.673441,1,1.033597,0
2007-03-13,sh.600868,3.93,4.28,3.92,4.18,121131424,501187538.0,7.565785,1,6.905364,0
2007-03-14,sh.600868,4.17,4.29,3.97,4.18,110995120,462133794.0,6.932678,1,0.0,0
2007-03-15,sh.600868,4.16,4.27,4.12,4.22,71511353,300963208.0,4.46655,1,0.956937,0
2007-03-16,sh.600868,4.22,4.25,4.01,4.08,76040179,314610897.0,4.749417,1,-3.317533,0
2007-03-19,sh.600868,3.93,4.13,3.85,4.08,62192601,251425031.0,3.884507,1,0.0,0
2007-03-20,sh.600868,4.09,4.2,4.05,4.16,59762428,245765173.0,3.73272,1,1.960783,0
2007-03-21,sh.600868,4.15,4.58,4.11,4.58,169398878,735267332.0,10.580537,1,10.09616,0
2007-03-22,sh.600868,4.58,4.7,4.4,4.5,201811791,917846066.0,12.605025,1,-1.746723,0
2007-03-23,sh.600868,4.49,4.55,4.41,4.52,77067706,345395768.0,4.813596,1,0.444444,0
2007-03-26,sh.600868,4.52,4.79,4.52,4.72,95973773,446897978.0,5.994455,1,4.424775,0
2007-03-27,sh.600868,4.72,4.99,4.7,4.98,116110014,567208057.0,7.252151,1,5.50848,0
2007-03-28,sh.600868,5.0,5.29,4.98,5.22,184816231,950347162.0,11.543494,1,4.819273,0
2007-03-29,sh.600868,5.24,5.27,4.9,4.92,123784176,626354208.0,7.731474,1,-5.747121,0
2007-03-30,sh.600868,4.89,5.14,4.71,5.13,97227410,484838556.0,6.072757,1,4.268293,0
2007-04-02,sh.600868,5.19,5.4,5.19,5.37,115953311,616518234.0,7.242364,1,4.678358,0
2007-04-03,sh.600868,5.4,5.44,5.3,5.38,88969094,475994346.0,5.556948,1,0.186224,0
2007-04-04,sh.600868,5.38,5.38,5.26,5.29,61748929,327608527.0,3.856795,1,-1.672865,0
2007-04-05,sh.600868,5.29,5.36,5.21,5.33,53098288,281961885.0,3.316482,1,0.756143,0
