date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,isST
2014-01-02,sh.603993,6.49,6.49,6.3,6.36,5847460,37188103.0,0.297063,1,-2.0031,0
2014-01-03,sh.603993,6.33,6.36,6.25,6.26,3610650,22679834.0,0.183429,1,-1.5723,0
2014-01-06,sh.603993,6.25,6.25,5.99,6.02,4409899,26721243.0,0.224032,1,-3.8339,0
2014-01-07,sh.603993,6.0,6.07,5.98,6.02,2686106,16186897.0,0.13646,1,0.0,0
2014-01-08,sh.603993,6.05,6.06,5.91,5.93,2937047,17625672.0,0.149208,1,-1.495,0
2014-01-09,sh.603993,5.8,5.9,5.74,5.76,3585138,20871916.0,0.182133,1,-2.8668,0
2014-01-10,sh.603993,5.76,5.81,5.68,5.75,3869128,22214873.0,0.19656,1,-0.1736,0
2014-01-13,sh.603993,5.8,6.08,5.76,5.95,6502134,38734714.0,0.330322,1,3.4783,0
2014-01-14,sh.603993,5.94,6.05,5.92,5.96,3561359,21292623.0,0.180925,1,0.1681,0
2014-01-15,sh.603993,5.96,5.98,5.82,5.86,2571923,15117414.0,0.130659,1,-1.6779,0
2014-01-16,sh.603993,5.86,6.05,5.82,5.98,4021560,23931213.0,0.204304,1,2.0478,0
2014-01-17,sh.603993,5.96,5.97,5.83,5.84,2489949,14643903.0,0.126495,1,-2.3411,0
2014-01-20,sh.603993,5.79,5.82,5.71,5.73,1921036,11067297.0,0.097593,1,-1.8836,0
2014-01-21,sh.603993,5.73,5.84,5.71,5.82,1838673,10650071.0,0.093409,1,1.5707,0
2014-01-22,sh.603993,5.85,5.97,5.82,5.96,4104532,24356266.0,0.208519,1,2.4055,0
2014-01-23,sh.603993,5.99,6.0,5.9,5.92,2801112,16587102.0,0.142302,1,-0.6711,0
2014-01-24,sh.603993,5.94,6.07,5.88,6.03,4331476,26039344.0,0.220048,1,1.8581,0
2014-01-27,sh.603993,6.0,6.07,5.95,5.96,2564152,15343399.0,0.130264,1,-1.1609,0
2014-01-28,sh.603993,5.96,6.06,5.94,5.97,1485087,8881508.0,0.075446,1,0.1678,0
2014-01-29,sh.603993,5.98,6.0,5.94,5.98,1659392,9900323.0,0.084301,1,0.1675,0
2014-01-30,sh.603993,5.97,5.98,5.87,5.89,1589940,9384887.0,0.080772,1,-1.505,0
2014-02-07,sh.603993,5.78,5.95,5.78,5.93,1673576,9834228.0,0.085021,1,0.6791,0
2014-02-10,sh.603993,5.97,6.12,5.94,6.1,6153653,37255468.0,0.312619,1,2.8668,0
2014-02-11,sh.603993,6.12,6.14,6.02,6.11,5652775,34417109.0,0.287173,1,0.1639,0
2014-02-12,sh.603993,6.12,6.14,6.05,6.12,4922400,30000872.0,0.250068,1,0.1637,0
2014-02-13,sh.603993,6.13,6.26,6.08,6.08,6995024,43207319.0,0.355362,1,-0.6536,0
2014-02-14,sh.603993,6.08,6.17,6.06,6.16,4390439,26838929.0,0.223044,1,1.3158,0
2014-02-17,sh.603993,6.19,6.25,6.14,6.21,6839403,42284498.0,0.347456,1,0.8117,0
2014-02-18,sh.603993,6.22,6.22,6.1,6.12,5825237,35814032.0,0.295935,1,-1.4493,0
2014-02-19,sh.603993,6.17,6.17,6.05,6.12,5025473,30675243.0,0.255305,1,0.0,0
2014-02-20,sh.603993,6.14,6.2,6.0,6.07,6347784,38869643.0,0.322481,1,-0.817,0
2014-02-21,sh.603993,6.01,6.17,6.01,6.04,4943921,30045997.0,0.251162,1,-0.4942,0
2014-02-24,sh.603993,6.02,6.04,5.83,5.87,3906378,22979898.0,0.198452,1,-2.8146,0
2014-02-25,sh.603993,5.87,5.92,5.6,5.63,6996871,40167266.0,0.355456,1,-4.0886,0
2014-02-26,sh.603993,5.59,5.8,5.56,5.77,5082508,28931249.0,0.258202,1,2.4867,0
2014-02-27,sh.603993,5.76,5.76,5.6,5.62,4163257,23612043.0,0.211502,1,-2.5997,0
2014-02-28,sh.603993,5.63,5.74,5.6,5.74,3833166,21801124.0,0.194733,1,2.1352,0
2014-03-03,sh.603993,5.72,6.04,5.71,5.95,8772087,51458938.0,0.445641,1,3.6585,0
2014-03-04,sh.603993,5.85,5.98,5.84,5.92,6637541,39248306.0,0.337201,1,-0.5042,0
2014-03-05,sh.603993,5.9,5.91,5.81,5.83,4293872,25114355.0,0.218138,1,-1.5203,0
2014-03-06,sh.603993,5.81,5.85,5.71,5.78,2465975,14227012.0,0.125277,1,-0.8576,0
2014-03-07,sh.603993,5.8,5.89,5.8,5.82,3226121,18859295.0,0.163894,1,0.692,0
2014-03-10,sh.603993,5.8,5.81,5.46,5.5,5034272,28221673.0,0.255752,1,-5.4983,0
2014-03-11,sh.603993,5.5,5.51,5.39,5.46,4436646,24111774.0,0.225391,1,-0.7273,0
2014-03-12,sh.603993,5.44,5.61,5.41,5.6,4853998,26820690.0,0.246593,1,2.5641,0
2014-03-13,sh.603993,5.6,5.68,5.54,5.59,2397815,13403000.0,0.121814,1,-0.1786,0
2014-03-14,sh.603993,5.55,5.76,5.52,5.6,3932708,22123863.0,0.19979,1,0.1789,0
2014-03-17,sh.603993,5.65,5.67,5.57,5.65,2745214,15433197.0,0.139463,1,0.8929,0
2014-03-18,sh.603993,5.67,5.67,5.56,5.57,3029732,16936528.0,0.153917,1,-1.4159,0
2014-03-19,sh.603993,5.56,5.58,5.44,5.53,3682811,20254575.0,0.187095,1,-0.7181,0
2014-03-20,sh.603993,5.5,5.55,5.43,5.44,2271393,12490677.0,0.115392,1,-1.6275,0
2014-03-21,sh.603993,5.41,5.61,5.41,5.59,3558819,19627028.0,0.180796,1,2.7574,0
2014-03-24,sh.603993,5.59,5.66,5.56,5.63,4632322,25988598.0,0.235332,1,0.7156,0
2014-03-25,sh.603993,5.63,5.76,5.58,5.67,4848638,27474774.0,0.246321,1,0.7105,0
2014-03-26,sh.603993,5.7,5.72,5.62,5.68,3424219,19397285.0,0.173958,1,0.1764,0
2014-03-27,sh.603993,5.73,5.73,5.6,5.61,3038532,17224102.0,0.154364,1,-1.2324,0
2014-03-28,sh.603993,5.61,5.68,5.54,5.55,2934536,16447129.0,0.149081,1,-1.0695,0
2014-03-31,sh.603993,5.52,5.61,5.52,5.56,1720677,9578986.0,0.087414,1,0.1802,0
2014-04-01,sh.603993,5.55,5.62,5.52,5.6,1820709,10156695.0,0.092496,1,0.7194,0
2014-04-02,sh.603993,5.61,5.64,5.58,5.64,3396003,19064865.0,0.172524,1,0.7143,0
2014-04-03,sh.603993,5.66,5.67,5.55,5.56,2597953,14567970.0,0.131982,1,-1.4184,0
2014-04-04,sh.603993,5.53,5.69,5.52,5.66,4570704,25747212.0,0.232202,1,1.7986,0
2014-04-08,sh.603993,5.66,5.75,5.62,5.72,4828742,27520387.0,0.24531,1,1.0601,0
2014-04-09,sh.603993,5.72,5.76,5.69,5.71,3247829,18565548.0,0.164997,1,-0.1748,0
2014-04-10,sh.603993,5.71,5.77,5.65,5.76,6154583,35183879.0,0.312666,1,0.8757,0
2014-04-11,sh.603993,5.71,5.75,5.65,5.66,4610346,26204106.0,0.234215,1,-1.7361,0
2014-04-14,sh.603993,5.65,5.71,5.62,5.7,3377573,19161859.0,0.171588,1,0.7067,0
2014-04-15,sh.603993,5.7,5.7,5.7,5.7,0,0.0,,0,0.0,0
2014-04-16,sh.603993,5.78,5.82,5.63,5.66,5256099,30067047.0,0.267021,1,-0.7018,0
2014-04-17,sh.603993,5.63,5.67,5.6,5.6,2786066,15664428.0,0.141538,1,-1.0601,0
2014-04-18,sh.603993,5.58,5.63,5.55,5.58,2084526,11664056.0,0.105898,1,-0.3571,0
2014-04-21,sh.603993,5.53,5.6,5.52,5.52,2182894,12117969.0,0.110896,1,-1.0753,0
2014-04-22,sh.603993,5.51,5.53,5.42,5.45,2451868,13409304.0,0.12456,1,-1.2681,0
2014-04-23,sh.603993,5.45,5.54,5.44,5.49,1591598,8725145.0,0.080857,1,0.7339,0
2014-04-24,sh.603993,5.49,5.52,5.45,5.49,1422636,7812109.0,0.072273,1,0.0,0
2014-04-25,sh.603993,5.5,5.6,5.46,5.49,2703349,14940014.0,0.137336,1,0.0,0
2014-04-28,sh.603993,5.5,5.58,5.49,5.5,4073183,22521996.0,0.206926,1,0.1822,0
2014-04-29,sh.603993,5.5,5.51,5.34,5.42,3164243,17097584.0,0.16075,1,-1.4545,0
2014-04-30,sh.603993,5.39,5.52,5.37,5.51,2955529,16112812.0,0.150147,1,1.6605,0
2014-05-05,sh.603993,5.5,5.7,5.44,5.7,8360796,47038062.0,0.424746,1,3.4483,0
2014-05-06,sh.603993,5.65,5.79,5.6,5.66,7300097,41826166.0,0.370861,1,-0.7018,0
2014-05-07,sh.603993,5.65,5.77,5.62,5.75,5550304,31737076.0,0.281967,1,1.5901,0
2014-05-08,sh.603993,5.73,5.93,5.73,5.92,11136332,65424909.0,0.565749,1,2.9565,0
2014-05-09,sh.603993,5.89,6.51,5.87,6.51,41746947,268024920.0,2.120834,1,9.9662,0
