date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,isST
2014-01-02,sh.600157,5.36,5.38,5.28,5.3,14388211,76407284.0,1.003399,1,-1.6698,0
2014-01-03,sh.600157,5.28,5.36,5.24,5.33,13187941,69781527.0,0.919695,1,0.566,0
2014-01-06,sh.600157,5.31,5.33,5.13,5.17,16269584,84366172.0,1.134601,1,-3.0019,0
2014-01-07,sh.600157,5.13,5.19,5.07,5.09,10835982,55546667.0,0.755675,1,-1.5474,0
2014-01-08,sh.600157,5.11,5.16,5.01,5.03,12445072,63101831.0,0.867889,1,-1.1788,0
2014-01-09,sh.600157,5.02,5.09,4.96,4.98,14245759,71587727.0,0.993464,1,-0.994,0
2014-01-10,sh.600157,4.95,4.99,4.85,4.92,15827245,77772367.0,1.103753,1,-1.2048,0
2014-01-13,sh.600157,4.9,4.99,4.88,4.91,9815073,48372412.0,0.684479,1,-0.2033,0
2014-01-14,sh.600157,4.91,4.92,4.78,4.88,17199888,83275433.0,1.199478,1,-0.611,0
2014-01-15,sh.600157,4.87,4.88,4.78,4.81,13366351,64365637.0,0.932137,1,-1.4344,0
2014-01-16,sh.600157,4.81,4.98,4.77,4.89,20860830,101813750.0,1.454783,1,1.6632,0
2014-01-17,sh.600157,4.86,4.86,4.74,4.75,13370789,64055642.0,0.932446,1,-2.863,0
2014-01-20,sh.600157,4.71,4.73,4.66,4.69,9947165,46693738.0,0.693691,1,-1.2632,0
2014-01-21,sh.600157,4.71,4.75,4.67,4.73,7590514,35859470.0,0.529344,1,0.8529,0
2014-01-22,sh.600157,4.74,4.92,4.71,4.9,20417094,98749662.0,1.423838,1,3.5941,0
2014-01-23,sh.600157,4.88,4.9,4.83,4.84,11067763,53809745.0,0.771839,1,-1.2245,0
2014-01-24,sh.600157,4.81,4.97,4.8,4.92,14208047,69856955.0,0.990835,1,1.6529,0
2014-01-27,sh.600157,4.83,4.96,4.82,4.91,15570867,75862606.0,1.085874,1,-0.2033,0
2014-01-28,sh.600157,4.91,4.92,4.82,4.82,9952778,48297322.0,0.694082,1,-1.833,0
2014-01-29,sh.600157,4.83,4.85,4.71,4.71,16769275,79839821.0,1.169448,1,-2.2822,0
2014-01-30,sh.600157,4.69,4.74,4.62,4.64,12680319,59371070.0,0.884294,1,-1.4862,0
2014-02-07,sh.600157,4.63,4.72,4.6,4.71,8633198,40281283.0,0.602058,1,1.5086,0
2014-02-10,sh.600157,4.75,4.88,4.72,4.84,19440081,93698723.0,1.355704,1,2.7601,0
2014-02-11,sh.600157,4.85,5.02,4.82,4.92,32763038,161111159.0,2.284814,1,1.6529,0
2014-02-12,sh.600157,4.88,4.93,4.85,4.89,22203406,108248734.0,1.548411,1,-0.6098,0
2014-02-13,sh.600157,4.9,4.97,4.84,4.87,20024969,98095617.0,1.396492,1,-0.409,0
2014-02-14,sh.600157,4.87,4.92,4.83,4.9,15287917,74549626.0,1.066142,1,0.616,0
2014-02-17,sh.600157,4.94,4.97,4.88,4.96,24337169,119998115.0,1.697215,1,1.2245,0
2014-02-18,sh.600157,4.96,4.97,4.86,4.95,24348395,119966120.0,1.697998,1,-0.2016,0
2014-02-19,sh.600157,4.95,4.97,4.87,4.96,31010900,152691059.0,2.162624,1,0.202,0
2014-02-20,sh.600157,4.95,5.36,4.94,5.13,80850361,415884816.0,5.638307,1,3.4274,0
2014-02-21,sh.600157,5.1,5.1,4.98,5.01,32746721,164516351.0,2.283676,1,-2.3392,0
2014-02-24,sh.600157,4.99,4.99,4.79,4.8,24128474,116920818.0,1.682661,1,-4.1916,0
2014-02-25,sh.600157,4.8,4.82,4.61,4.64,23012685,108536493.0,1.604848,1,-3.3333,0
2014-02-26,sh.600157,4.63,4.64,4.53,4.63,14826948,67965714.0,1.033995,1,-0.2155,0
2014-02-27,sh.600157,4.63,4.67,4.51,4.52,17693270,81272451.0,1.233885,1,-2.3758,0
2014-02-28,sh.600157,4.51,4.51,4.31,4.46,27807138,122871164.0,1.939202,1,-1.3274,0
2014-03-03,sh.600157,4.42,4.52,4.4,4.46,15772603,70488558.0,1.099943,1,0.0,0
2014-03-04,sh.600157,4.46,4.46,4.36,4.38,16493588,72437436.0,1.150223,1,-1.7937,0
2014-03-05,sh.600157,4.39,4.54,4.35,4.46,27278046,121300484.0,1.902304,1,1.8265,0
