date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,isST
2020-01-02,sz.300413,35.0,38.46,35.0,38.46,22690673,859119705.56,2.7206,1,10.0114,0
2020-01-03,sz.300413,38.8,40.33,37.91,39.35,25143321,986185457.35,3.0147,1,2.3141,0
2020-01-06,sz.300413,37.8,40.45,37.7,39.88,16104965,632092602.81,1.931,1,1.3469,0
2020-01-07,sz.300413,39.35,41.87,39.11,40.95,14193824,580789544.87,1.7019,1,2.683,0
2020-01-08,sz.300413,40.2,41.0,38.88,39.17,12761373,508225174.78,1.5301,1,-4.3468,0
2020-01-09,sz.300413,39.69,40.15,38.18,39.34,13107303,509209114.77,1.5716,1,0.434,0
2020-01-10,sz.300413,39.34,39.77,38.67,39.1,7642427,299603247.24,0.9163,1,-0.6101,0
2020-01-13,sz.300413,39.13,40.56,38.85,39.77,9580998,380964638.51,1.1488,1,1.7136,0
2020-01-14,sz.300413,40.4,43.5,39.66,41.35,16710466,692690878.01,2.0036,1,3.9728,0
2020-01-15,sz.300413,41.89,42.3,40.06,41.2,10883590,447208801.9,1.305,1,-0.3628,0
2020-01-16,sz.300413,40.34,41.75,39.91,40.23,9064519,368658698.19,1.0868,1,-2.3544,0
2020-01-17,sz.300413,40.32,41.3,39.5,40.0,9773290,393837275.54,1.1718,1,-0.5717,0
2020-01-20,sz.300413,40.0,41.44,39.26,40.93,9334061,378531208.39,1.1192,1,2.325,0
2020-01-21,sz.300413,40.78,43.58,40.31,42.72,12267417,518535693.07,1.4709,1,4.3733,0
2020-01-22,sz.300413,42.59,45.0,41.21,44.4,10605432,458769596.48,1.2716,1,3.9326,0
2020-01-23,sz.300413,44.28,47.56,43.58,45.99,14334477,652202554.25,1.7187,1,3.5811,0
2020-02-03,sz.300413,41.99,45.41,41.39,41.7,16295323,699757753.2,1.9538,1,-9.3281,0
2020-02-04,sz.300413,42.77,45.87,42.15,45.87,16406014,723723307.32,1.9671,1,10.0,0
