date,code,open,high,low,close,volume,amount,turn,tradestatus,pctChg,isST
2011-01-04,sh.600239,18.78,20.3,18.5,19.81,16987890,337110884.0,3.972939,1,6.6774,0
2011-01-05,sh.600239,19.75,20.27,19.4,19.79,13980982,276518405.0,3.269717,1,-0.101,0
2011-01-06,sh.600239,20.16,21.15,19.85,20.67,20047788,413074286.0,4.688555,1,4.4467,0
2011-01-07,sh.600239,20.4,20.97,20.29,20.52,10492847,216217837.0,2.453951,1,-0.7257,0
2011-01-10,sh.600239,20.44,20.77,19.3,19.39,10256329,204037431.0,2.398637,1,-5.5068,0
2011-01-11,sh.600239,19.41,20.1,19.26,20.09,8575639,169962054.0,2.005575,1,3.6101,0
2011-01-12,sh.600239,20.11,20.15,19.54,19.72,8117408,160062839.0,1.685846,1,-1.8417,0
2011-01-13,sh.600239,19.71,20.5,19.69,20.34,8872859,178632460.0,1.842741,1,3.144,0
2011-01-14,sh.600239,20.26,21.34,19.9,21.01,15795180,330784420.0,3.280388,1,3.294,0
2011-01-17,sh.600239,20.75,21.25,20.0,20.3,15285717,312674544.0,3.174581,1,-3.3793,0
2011-01-18,sh.600239,20.36,20.4,18.52,18.92,15374301,299749306.0,3.192978,1,-6.798,0
2011-01-19,sh.600239,18.8,19.0,18.01,18.77,13930009,259791888.0,2.893024,1,-0.7928,0
2011-01-20,sh.600239,18.74,19.39,18.49,18.54,7682667,145037208.0,1.595558,1,-1.2254,0
2011-01-21,sh.600239,18.52,19.51,18.5,18.63,8344040,157624307.0,1.732914,1,0.4854,0
2011-01-24,sh.600239,18.8,19.85,18.61,19.64,10427327,202317349.0,2.165577,1,5.4214,0
2011-01-25,sh.600239,19.42,20.16,18.68,19.17,7538620,145427716.0,1.565642,1,-2.3931,0
2011-01-26,sh.600239,19.07,19.95,19.02,19.89,10798476,213341802.0,2.242658,1,3.7559,0
2011-01-27,sh.600239,19.3,19.38,18.69,18.99,13022757,246890216.0,2.704603,1,-4.5249,0
2011-01-28,sh.600239,18.9,19.5,18.06,18.67,11122249,207863201.0,2.3099,1,-1.6851,0
2011-01-31,sh.600239,18.65,18.65,18.14,18.17,9503081,173964651.0,1.973627,1,-2.6781,0
2011-02-01,sh.600239,18.25,18.7,18.15,18.32,6581609,120548719.0,1.366887,1,0.8255,0
2011-02-09,sh.600239,18.08,18.08,16.8,16.98,12163920,209484890.0,2.526237,1,-7.3144,0
2011-02-10,sh.600239,17.0,17.29,16.8,17.12,11937706,203153437.0,2.479257,1,0.8245,0
2011-02-11,sh.600239,17.29,17.82,16.91,17.8,17193551,297502031.0,3.570805,1,3.972,0
2011-02-14,sh.600239,17.75,18.12,17.61,17.97,14840038,266000953.0,3.082021,1,0.9551,0
2011-02-15,sh.600239,18.0,18.09,17.54,17.8,9897317,176028041.0,2.055503,1,-0.946,0
2011-02-16,sh.600239,17.66,17.85,17.66,17.81,7140508,126700928.0,1.482961,1,0.0562,0
2011-02-17,sh.600239,17.81,17.85,16.9,17.14,18880860,324081977.0,3.921231,1,-3.7619,0
2011-02-18,sh.600239,17.0,17.44,16.91,17.1,8919265,153450517.0,1.852378,1,-0.2334,0
2011-02-21,sh.600239,16.93,17.34,16.81,17.32,8212738,140968559.0,1.705645,1,1.2865,0
2011-02-22,sh.600239,17.41,17.43,16.8,17.26,11891241,203929335.0,2.469607,1,-0.3464,0
2011-02-23,sh.600239,17.18,17.32,17.02,17.21,5270527,90467692.0,1.094598,1,-0.2897,0
2011-02-24,sh.600239,17.14,17.2,16.81,17.03,7949212,135082262.0,1.650915,1,-1.0459,0
2011-02-25,sh.600239,17.03,17.35,16.89,17.2,8865584,152328398.0,1.84123,1,0.9982,0
2011-02-28,sh.600239,17.1,17.29,16.98,17.19,11461358,195667399.0,2.380327,1,-0.0581,0
2011-03-01,sh.600239,17.14,17.85,17.08,17.64,16355199,286576904.0,3.396694,1,2.617794,0
